id,nom_ressource,type_ressource,quantite,unite_mesure,Usage Frequency,Saison
533,Fertilisant biologique à base d’algues,semences,335.3,Hectare,monthly,spring
534,Engrais phosphoré pour tubercules,semences,876.34,Millilitre,monthly,spring
535,Tracteur compact polyvalent,carburant,423.89,Gramme,weekly,fall
536,Écorces pour paillis,carburant,315.25,Gramme,daily,summer
537,Ensileuse pour récoltes fourragères,eau,268.25,Kilogramme,weekly,winter
538,Semences de courgette,carburant,755.33,Litre,weekly,summer
539,Fongicide à base de benomyl,eau,543.48,Kilogramme,daily,winter
540,Pétrole pour tracteurs,engrais,330.7,Litre,monthly,spring
541,Engrais azoté NPK 20-20-20,carburant,855.5,Mètre cube,monthly,spring
542,Fongicide à base de mancozèbe,pesticide,620.97,Kilogramme,weekly,winter
543,Engrais pour plantes d'intérieur,engrais,449.14,Mètre cube,monthly,winter
544,Kit d'irrigation pour potager,eau,669.78,Litre,daily,summer
545,Engrais à base de vinaigre,semences,950.49,Mètre cube,daily,winter
546,Semences de sésame,pesticide,464.31,Acre,weekly,fall
547,Souffleur à feuilles à batterie,carburant,448.7,Litre,weekly,summer
548,Système de compostage domestique,semences,453.41,Gramme,monthly,fall
549,Engrais à base de cendre de bois,eau,371.37,Millilitre,daily,spring
550,Moissonneuse-batteuse pour blé,semences,806.8,Millilitre,daily,winter
551,,carburant,853.75,Mètre cube,weekly,fall
552,Engrais phosphoré pour tubercules,semences,296.5,Kilogramme,daily,spring
553,Engrais naturel à base de farine d’os,semences,727.28,Gramme,weekly,fall
554,Engrais foliaire liquide,carburant,559.91,Mètre cube,daily,spring
555,Engrais à base de sang séché,semences,436.14,Millilitre,daily,winter
556,Semences de sésame,pesticide,576.39,Kilogramme,monthly,winter
557,Semences de melon,engrais,638.84,Kilogramme,daily,winter
558,,pesticide,887.17,Litre,daily,spring
559,Carburant à base de biomasse,engrais,873.23,Acre,daily,fall
560,Pesticide à base de baccillus thuringiensis,pesticide,237.47,Millilitre,monthly,summer
561,,pesticide,967.34,Mètre cube,monthly,spring
562,Semences de riz basmati,engrais,325.11,Hectare,weekly,spring
563,,semences,509.27,Mètre cube,daily,fall
564,Graines de pastèque,carburant,445.61,Litre,weekly,fall
565,Engrais à libération lente,engrais,883.83,Acre,monthly,summer
566,Terreau de qualité supérieure,carburant,488.32,Hectare,daily,spring
567,Compost à base de déchets verts,semences,609.48,Litre,weekly,spring
568,Graines de colza,engrais,325.33,Mètre cube,daily,summer
569,Épices pour agriculture bio,eau,240.61,Gramme,weekly,spring
570,Engrais universel pour toutes cultures,semences,349.68,Hectare,weekly,spring
571,Semences de maïs hybride,carburant,461.97,Hectare,weekly,fall
572,Semences de carvi,carburant,851.12,Mètre cube,monthly,spring
573,Réservoir d’eau de pluie 1000L,pesticide,782.03,Millilitre,daily,summer
574,Graines de colza,semences,306.5,Litre,monthly,fall
575,Fongicide à base de benomyl,eau,884.61,Mètre cube,weekly,spring
576,Engrais foliaire au magnésium,eau,537.63,Acre,weekly,winter
577,Semences de courgette,semences,790.89,Kilogramme,daily,spring
578,Insecticide à base de imidaclopride,carburant,750.82,Kilogramme,daily,summer
579,Pesticide à base de baccillus thuringiensis,carburant,467.19,Mètre cube,daily,summer
580,Gaz de ville pour équipements,engrais,423.86,Kilogramme,monthly,spring
581,,carburant,831.35,Litre,monthly,fall
582,,pesticide,249.91,Litre,monthly,winter
583,Semences de coriandre,eau,975.79,Mètre cube,daily,spring
584,Semences de carvi,carburant,619.23,Kilogramme,weekly,fall
585,Graines de menthe,carburant,615.94,Mètre cube,weekly,fall
586,Phosphate de calcium granulaire,carburant,714.69,Gramme,monthly,winter
587,Faucheuse à barre de coupe,carburant,277.69,Mètre cube,monthly,summer
588,Culture d’algues pour compost,carburant,989.41,Kilogramme,weekly,winter
589,Semences de groseille,semences,296.82,Hectare,daily,fall
590,Cactus comme plante d'intérieur,pesticide,579.29,Litre,daily,spring
591,,engrais,725.03,Kilogramme,daily,summer
592,Propane pour réchaud,eau,674.07,Litre,monthly,winter
593,Gravier pour drainage,eau,980.11,Acre,weekly,summer
594,Eau purifiée pour irrigation goutte-à-goutte,pesticide,968.33,Acre,monthly,summer
595,Hydrogène pour stockage d'énergie,engrais,615.62,Mètre cube,daily,summer
596,Charrue à deux socs,carburant,937.29,Millilitre,daily,summer
597,Semences d’aubergine,engrais,700.41,Kilogramme,weekly,summer
598,Engrais à base de lactosérum,pesticide,596.24,Acre,monthly,summer
599,Graines de tournesol bio,semences,212.87,Hectare,daily,summer
600,Désherbant systémique non toxique,semences,572.05,Millilitre,weekly,spring
601,Pesticide à base de linalol,pesticide,431.88,Gramme,weekly,winter
602,Eau de pluie filtrée,semences,951.26,Litre,weekly,fall
603,,eau,654.49,Hectare,weekly,fall
604,Biocarburant à base de colza,pesticide,621.3,Acre,weekly,spring
605,Gravier pour drainage,eau,214.96,Mètre cube,weekly,summer
606,Essence pour tondeuse à gazon,eau,324.36,Litre,weekly,summer
607,Hydrogène pour stockage d'énergie,carburant,880.64,Hectare,monthly,summer
608,Semences de laitue romaine,pesticide,793.41,Kilogramme,daily,fall
609,Semences de millet,pesticide,224.2,Mètre cube,weekly,summer
610,Désherbant systémique non toxique,semences,986.41,Gramme,weekly,spring
611,Ensileuse pour récoltes fourragères,semences,271.29,Hectare,weekly,spring
612,Engrais de couverture pour sols,semences,551.66,Acre,daily,fall
613,Kit de goutte à goutte portable,carburant,429.06,Litre,monthly,winter
614,Graines de fruits exotiques,pesticide,726.92,Litre,weekly,fall
615,Pulvérisateur électrique 15L,engrais,726.64,Litre,monthly,winter
616,Pesticide à base d'extraits de plantes,engrais,842.57,Acre,monthly,summer
617,Pesticide à base de bicarbonate de soude,semences,402.46,Hectare,weekly,fall
618,Semences de courgette,carburant,484.75,Gramme,weekly,summer
619,Insecticide à base de abamectine,engrais,710.9,Millilitre,daily,spring
620,Système d’irrigation en goutte à goutte,pesticide,846.9,Acre,weekly,spring
621,Semences de radis,engrais,433.92,Millilitre,daily,fall
622,,carburant,897.52,Millilitre,daily,spring
623,Écorces pour paillis,pesticide,864.68,Litre,daily,spring
624,Engrais phosphoré pour tubercules,eau,328.34,Acre,daily,winter
625,Culture d’algues pour compost,carburant,386.53,Mètre cube,daily,fall
626,Système de récolte à la main,semences,833.36,Mètre cube,monthly,spring
627,Pesticide à base de pyriproxyfène,eau,489.74,Gramme,monthly,summer
628,Fertilisant biologique à base d’algues,eau,802.17,Millilitre,weekly,winter
629,Électricité solaire pour pompe,semences,847.79,Hectare,weekly,fall
630,Système d'irrigation goutte à goutte,semences,555.55,Gramme,weekly,summer
631,,engrais,946.53,Gramme,weekly,fall
632,Kit de micro-irrigation automatisée,engrais,987.53,Hectare,monthly,spring
633,Pesticide à base d'huile de citronnelle,eau,832.45,Mètre cube,weekly,summer
634,Électricité solaire pour pompe,carburant,436.75,Mètre cube,daily,spring
635,Engrais bio pour plantes d'intérieur,pesticide,579.79,Hectare,daily,winter
636,Système de récolte à la main,engrais,393.41,Litre,monthly,winter
637,Semences de gingembre,engrais,745.58,Millilitre,daily,spring
638,Pesticide à base de thiaclopride,carburant,313.11,Acre,daily,summer
639,Semences d’aubergine,eau,990.49,Kilogramme,monthly,summer
640,Éthanol à base de maïs,pesticide,580.04,Gramme,monthly,winter
641,,carburant,623.43,Litre,weekly,fall
642,,engrais,966.78,Litre,weekly,winter
643,Pétrole pour tracteurs,eau,220.13,Millilitre,weekly,fall
644,Engrais à base de fumier de cheval,engrais,856.5,Acre,monthly,fall
645,Engrais à base de cendre de bois,pesticide,554.57,Millilitre,weekly,summer
646,Insecticide naturel à base de savon,eau,854.39,Gramme,weekly,spring
647,Herbicide à base de flumioxazine,semences,252.29,Litre,daily,fall
648,Biogaz pour chauffage,pesticide,208.84,Kilogramme,monthly,winter
649,Graines de pastèque,carburant,940.9,Acre,weekly,fall
650,Engrais enrichi en oligo-éléments,eau,946.11,Mètre cube,monthly,winter
651,Gazole pour engins de chantier,pesticide,806.21,Hectare,daily,fall
652,Graines de cerise,semences,918.09,Hectare,weekly,fall
653,Semences de millet,semences,707.53,Mètre cube,weekly,fall
654,Outils de jardinage manuels,pesticide,410.97,Litre,weekly,spring
655,Semences de coriandre,engrais,620.16,Litre,daily,summer
656,Propane pour réchaud,pesticide,471.41,Millilitre,weekly,winter
657,Énergie éolienne pour ferme,semences,585.35,Mètre cube,weekly,winter
658,Biopesticide à base de saponines,engrais,940.07,Gramme,daily,summer
659,Semences de chou-fleur,eau,963.75,Acre,monthly,fall
660,Fil de fer pour clôtures,carburant,474.41,Gramme,monthly,fall
661,Engrais naturel à base de farine d’os,carburant,307.34,Millilitre,weekly,summer
662,Semences de concombre,engrais,590.19,Acre,weekly,winter
663,Sable pour drainage,engrais,979.48,Kilogramme,weekly,winter
664,Biocarburant à base de déchets,carburant,987.64,Hectare,daily,spring
665,Semences de sauge,eau,302.95,Kilogramme,monthly,spring
666,Pesticide à base d'extraits de plantes,pesticide,369.08,Acre,monthly,winter
667,Graines de colza,eau,457,Kilogramme,daily,winter
668,Engrais organique à base de compost,carburant,561.48,Mètre cube,daily,fall
669,Semences de quinoa,semences,411.94,Kilogramme,monthly,spring
670,Pesticide à base de linalol,semences,806.72,Kilogramme,monthly,winter
671,Énergie éolienne pour ferme,semences,710.37,Millilitre,weekly,winter
672,Système de serre modulable,engrais,275.86,Gramme,monthly,winter
673,Gaz propane pour chauffages,eau,968.43,Kilogramme,weekly,winter
674,Pesticide à base d'huile de citronnelle,engrais,632.23,Hectare,daily,spring
675,Gaz propane pour chauffages,eau,661.28,Acre,daily,winter
676,,eau,366.98,Acre,weekly,fall
677,Cactus comme plante d'intérieur,pesticide,842.29,Hectare,monthly,spring
678,Système d’irrigation par aspersion,engrais,889.39,Mètre cube,monthly,winter
679,Équipement de désherbage manuel,eau,986.13,Millilitre,daily,winter
680,,eau,922.19,Gramme,weekly,spring
681,Semoir automatique de précision,semences,552.12,Kilogramme,monthly,summer
682,Énergie éolienne pour ferme,eau,732.37,Mètre cube,monthly,fall
683,Engrais à libération lente,semences,676.7,Acre,monthly,spring
684,Graines de céleri,pesticide,981.29,Mètre cube,daily,summer
685,Graines de basilic,semences,624.58,Hectare,weekly,summer
686,Substrat pour culture hydroponique,carburant,777.95,Hectare,weekly,winter
687,Système d’irrigation par aspersion,pesticide,472.47,Hectare,weekly,winter
688,Terre noire pour plantation,eau,374.98,Millilitre,daily,fall
689,Insecticide naturel à base de savon,semences,670.26,Kilogramme,daily,winter
690,Semences de haricot vert,pesticide,549.75,Acre,daily,summer
691,Engrais NPK 10-20-20,eau,485.13,Gramme,monthly,winter
692,Insecticide à base de imidaclopride,carburant,921.81,Millilitre,daily,spring
693,Carburant à base d'huile usagée,engrais,400.81,Mètre cube,daily,spring
694,Engrais pour plantes d'intérieur,semences,966.54,Litre,weekly,spring
695,Herbicide sélectif pour maïs,pesticide,604.36,Litre,daily,winter
696,Engrais à base de sang séché,pesticide,217.33,Millilitre,monthly,fall
697,Fongicide à base de benomyl,semences,965.76,Hectare,weekly,spring
698,Remorque agricole,semences,784.73,Millilitre,daily,fall
699,Pesticide à base de bicarbonate de soude,carburant,745.33,Acre,weekly,fall
700,Semences de riz basmati,semences,382.49,Mètre cube,weekly,summer
701,Engrais organique à base de compost,semences,992.97,Hectare,weekly,fall
702,Souffleur à feuilles à batterie,carburant,930.45,Acre,weekly,spring
703,Eau de pluie filtrée,carburant,340.52,Kilogramme,weekly,spring
704,Terre noire pour plantation,semences,965.91,Gramme,weekly,fall
705,Carburant à base d'huile usagée,pesticide,313.12,Mètre cube,daily,fall
706,Semences de melon,pesticide,803.97,Acre,weekly,winter
707,Engrais liquide pour légumes,semences,693.18,Hectare,weekly,spring
708,,engrais,921.5,Litre,monthly,spring
709,Engrais pour arbres fruitiers,engrais,656.03,Acre,daily,summer
710,Graines de céleri,engrais,630.83,Gramme,monthly,fall
711,Carburant biodiesel,pesticide,417.44,Acre,daily,winter
712,Fertilisant biologique à base d’algues,pesticide,720.99,Litre,weekly,spring
713,Herbicide à base de glyphosate,pesticide,653.74,Litre,daily,winter
714,Engrais organique à base de compost,eau,454.2,Kilogramme,daily,fall
715,Insecticide à base de pyréthrines,carburant,851.18,Millilitre,monthly,fall
716,Biopesticide à base de saponines,engrais,577.31,Hectare,daily,spring
717,Écorces pour paillis,carburant,734.07,Acre,daily,fall
718,Eau de pluie filtrée,carburant,360.48,Mètre cube,weekly,fall
719,Insecticide à base de abamectine,carburant,529.96,Kilogramme,weekly,spring
720,Carburant biodiesel,engrais,706.45,Mètre cube,monthly,fall
721,Fongicide au soufre micronisé,pesticide,840,Mètre cube,daily,fall
722,Semences de concombre,semences,769.65,Hectare,daily,spring
723,Herbicide à base de metolachlore,carburant,782.74,Acre,daily,summer
724,Semences de sauge,pesticide,302.95,Hectare,monthly,spring
725,Insecticide à base de méthomyl,pesticide,215.54,Hectare,daily,winter
726,Réservoir d'eau potable,eau,718.03,Acre,weekly,winter
727,Engrais granulé à libération contrôlée,semences,689.23,Kilogramme,monthly,summer
728,Fongicide à base de fludioxonil,engrais,703.32,Mètre cube,daily,spring
729,Graines de kiwi,engrais,457.53,Litre,weekly,summer
730,Système d’irrigation par aspersion,pesticide,262.48,Hectare,daily,spring
731,Système d’irrigation par aspersion,pesticide,547.37,Acre,monthly,fall
732,Gaz propane pour chauffages,semences,210.39,Hectare,daily,winter
733,Insecticide à base de imidaclopride,pesticide,425.37,Hectare,weekly,summer
734,Semences de courgette,carburant,859.5,Litre,weekly,fall
735,Semences de laitue romaine,carburant,968.46,Acre,daily,summer
736,Matériel de jardinage à main,pesticide,860.46,Hectare,monthly,summer
737,,eau,260.9,Gramme,weekly,summer
738,Semences de melon,carburant,237.13,Litre,daily,fall
739,,engrais,933.78,Kilogramme,monthly,winter
740,Semences de romarin,carburant,454.15,Millilitre,daily,winter
741,Graines de pois chiche,eau,305.36,Kilogramme,daily,fall
742,Charbon pour chaudière,engrais,603.05,Acre,monthly,summer
743,Éthanol à base de maïs,semences,782.06,Gramme,weekly,fall
744,Système de serre modulable,eau,686.11,Gramme,weekly,spring
745,Graines de colza,engrais,576.06,Acre,monthly,fall
746,Charrue à deux socs,pesticide,234.96,Kilogramme,daily,summer
747,Énergie solaire pour pompes,carburant,220.75,Acre,daily,winter
748,Graines de tomate cerise,engrais,548.06,Millilitre,monthly,spring
749,Pesticide à base de thiaclopride,semences,321.11,Hectare,monthly,spring
750,Gaz propane pour chauffages,engrais,799.47,Gramme,weekly,summer
751,Herbicide à base de glyphosate,engrais,220.43,Litre,daily,winter
752,Éthanol à base de maïs,engrais,247.02,Litre,weekly,fall
753,Fongicide au soufre micronisé,engrais,920.64,Hectare,daily,summer
754,Moissonneuse-batteuse pour blé,eau,694.46,Kilogramme,daily,winter
755,Solution nutritive hydroponique,semences,377.03,Millilitre,daily,winter
756,Semoir automatique de précision,pesticide,966.64,Gramme,monthly,winter
757,Pesticide à base d'extraits de plantes,eau,401.13,Kilogramme,daily,fall
758,Engrais potassique soluble,pesticide,477.12,Kilogramme,monthly,spring
759,Tuyaux d'irrigation en PVC,carburant,633.49,Hectare,weekly,fall
760,Compost à base de déchets verts,pesticide,717.48,Kilogramme,weekly,winter
761,Semences de romarin,engrais,604.39,Acre,monthly,spring
762,Engrais à base de sang séché,carburant,715.9,Kilogramme,monthly,winter
763,Fongicide à base de captane,semences,273.87,Gramme,weekly,fall
764,Pulvérisateur électrique 15L,semences,549.3,Hectare,monthly,winter
765,Insecticide à base de lambda-cyhalothrine,eau,557.67,Kilogramme,weekly,spring
766,Engrais minéral à base de soufre,carburant,593.51,Millilitre,weekly,summer
767,Insecticide à base de spinosad,semences,263.6,Hectare,monthly,fall
768,Pesticide à base de bicarbonate de soude,semences,780.77,Litre,daily,spring
769,Remorque agricole,carburant,246.87,Gramme,daily,winter
770,Engrais à base de vinaigre,engrais,455.01,Litre,weekly,spring
771,Souffleur à feuilles à batterie,carburant,786.57,Litre,daily,summer
772,Engrais à base de vinaigre,semences,534.71,Kilogramme,weekly,summer
773,Engrais à base de fumier de cheval,engrais,316.73,Millilitre,monthly,winter
774,Moissonneuse-batteuse pour blé,engrais,329.76,Kilogramme,daily,winter
775,Système de filtration pour irrigation,engrais,846.49,Litre,daily,winter
776,Eau purifiée pour irrigation goutte-à-goutte,eau,202.47,Mètre cube,weekly,spring
777,Fongicide à base de tébuconazole,engrais,902.68,Kilogramme,monthly,summer
778,Engrais granulé à libération contrôlée,semences,406.46,Acre,daily,winter
779,Éthanol à base de maïs,carburant,444.78,Hectare,monthly,summer
780,Insecticide à base de imidaclopride,engrais,928.55,Litre,weekly,spring
781,,pesticide,233.9,Litre,daily,summer
782,Engrais à base de cendre de bois,eau,726.94,Hectare,monthly,summer
783,Engrais potassique soluble,carburant,890.7,Gramme,daily,winter
784,Engrais pour fleurs annuelles,eau,984.16,Gramme,monthly,spring
785,Pesticide à base de baccillus thuringiensis,eau,252.27,Gramme,weekly,spring
786,Désherbant systémique non toxique,semences,205.1,Gramme,daily,spring
787,Eau de source pour agriculture,carburant,807.45,Hectare,monthly,summer
788,Fongicide à base de fludioxonil,engrais,380.5,Hectare,daily,fall
789,Eau de source pour agriculture,pesticide,279.29,Kilogramme,weekly,fall
790,Engrais riche en calcium,carburant,979.66,Millilitre,monthly,fall
791,Engrais potassique soluble,carburant,838.19,Millilitre,weekly,spring
792,Fongicide à base de fludioxonil,semences,346.33,Mètre cube,weekly,winter
793,Pesticide à base de bicarbonate de soude,semences,972.78,Kilogramme,monthly,summer
794,Bois pour construction de serres,engrais,808.31,Hectare,daily,fall
795,Semences de soja,carburant,293.53,Litre,weekly,fall
796,Semences de soja,carburant,622.74,Mètre cube,monthly,summer
797,Carburant à base de biomasse,carburant,741.78,Acre,daily,fall
798,Débroussailleuse à essence,semences,791.61,Mètre cube,daily,fall
799,Système d’irrigation en goutte à goutte,pesticide,447.61,Hectare,daily,winter
800,,pesticide,514.84,Millilitre,daily,fall
801,Engrais pour arbres fruitiers,engrais,849.27,Kilogramme,weekly,winter
802,,engrais,735.6,Acre,monthly,winter
803,,carburant,632.29,Acre,daily,fall
804,Pesticide à base de baccillus thuringiensis,carburant,690.23,Millilitre,monthly,fall
805,Engrais enrichi en fer,eau,882.06,Kilogramme,weekly,fall
806,Semences de framboise,engrais,507.51,Acre,weekly,winter
807,Fongicide à base de tébuconazole,semences,512.29,Litre,weekly,spring
808,Insecticide systémique pour rosier,carburant,600.48,Acre,monthly,spring
809,Semences d'amande,semences,831.88,Kilogramme,weekly,winter
810,Filet de protection anti-insectes,carburant,200.06,Millilitre,weekly,fall
811,Fongicide à base de captane,engrais,629.1,Gramme,daily,winter
812,Charrue à verser,engrais,517.97,Hectare,weekly,summer
813,Éthanol à base de maïs,pesticide,418.82,Millilitre,monthly,summer
814,,eau,668.96,Hectare,weekly,spring
815,Semences de laitue romaine,pesticide,884.45,Hectare,monthly,fall
816,Système d'irrigation goutte à goutte,engrais,829.33,Mètre cube,weekly,fall
817,Insecticide naturel à base de savon,engrais,698.72,Kilogramme,weekly,winter
818,Insecticide naturel à base de savon,carburant,866.34,Acre,daily,spring
819,Cendres de bois comme amendement,engrais,742.17,Kilogramme,weekly,winter
820,Engrais à base de lactosérum,pesticide,679.57,Gramme,monthly,winter
821,Pesticide à base de bicarbonate de soude,carburant,431.55,Millilitre,weekly,winter
822,Gazole pour engins de chantier,carburant,810.69,Gramme,monthly,winter
823,Engrais liquide à base de poisson,engrais,816.27,Millilitre,weekly,summer
824,Insecticide à base de pyréthrines,semences,977.28,Millilitre,weekly,winter
825,Herbicide à base de pelargonium,pesticide,607.36,Hectare,daily,fall
826,Engrais pour pelouse et jardins,eau,340.68,Litre,daily,fall
827,Charrue à verser,semences,794.52,Hectare,weekly,spring
828,Engrais pour fleurs annuelles,engrais,822.27,Kilogramme,monthly,summer
829,Terre noire pour plantation,semences,929.28,Mètre cube,monthly,winter
830,Graines de pastèque,semences,968.6,Kilogramme,monthly,summer
831,Fongicide à base de tébuconazole,carburant,597.63,Kilogramme,monthly,spring
832,Moissonneuse-batteuse pour blé,engrais,284.27,Hectare,monthly,spring
833,Cendres de bois comme amendement,pesticide,799.03,Mètre cube,daily,winter
834,Engrais bio pour plantes d'intérieur,semences,385.52,Hectare,monthly,summer
835,Graines de betterave sucrière,semences,228.88,Millilitre,monthly,spring
836,Biopesticide à base de neem,carburant,616.13,Gramme,daily,spring
837,Semences de maïs hybride,engrais,960.43,Litre,monthly,winter
838,Engrais pour orchidées,semences,267.44,Mètre cube,weekly,summer
839,Herbicide à base de glyphosate,semences,624.18,Hectare,monthly,fall
840,,engrais,526.28,Mètre cube,daily,winter
841,Semences de brocoli,eau,283.54,Litre,daily,winter
842,Gaz naturel pour tracteurs,eau,669.78,Kilogramme,daily,spring
843,Herbicide à base de glyphosate,semences,378.65,Mètre cube,monthly,winter
844,Engrais à base de guano,engrais,315.55,Litre,monthly,winter
845,Insecticide à base de spinosad,semences,205.46,Mètre cube,monthly,spring
846,Graines de cerise,carburant,825.98,Kilogramme,daily,summer
847,Réservoir d'eau enterré,engrais,752.61,Hectare,weekly,spring
848,Système de filtrage d'eau,pesticide,367.56,Kilogramme,weekly,spring
849,Carburant biodiesel,semences,700.37,Acre,daily,fall
850,Semences de carotte,carburant,851.05,Kilogramme,weekly,summer
851,Engrais foliaire au magnésium,semences,481.69,Kilogramme,weekly,winter
852,Fil de fer pour clôtures,eau,565.64,Litre,monthly,spring
853,,eau,473.94,Hectare,daily,spring
854,Herbicide sélectif pour maïs,pesticide,651.01,Millilitre,daily,spring
855,Pesticide à base d'extraits de plantes,pesticide,779.22,Hectare,weekly,fall
856,Gaz naturel pour tracteurs,carburant,491.81,Millilitre,daily,spring
857,Eau de pluie filtrée,carburant,480.14,Acre,monthly,spring
858,Engrais à base de guano,engrais,671.86,Litre,monthly,summer
859,Engrais à base de cendre de bois,pesticide,549.02,Mètre cube,monthly,fall
860,Treuil pour jardinage,semences,517.18,Hectare,weekly,winter
861,Eau de pluie pour cultures,carburant,866.53,Kilogramme,monthly,fall
862,Engrais foliaire au magnésium,semences,304.15,Acre,daily,winter
863,Graines de basilic,pesticide,833.17,Litre,monthly,fall
864,Insecticide à base de abamectine,engrais,463.09,Mètre cube,weekly,spring
865,Essence pour tondeuse à gazon,pesticide,985.57,Kilogramme,weekly,winter
866,Semences de framboise,semences,945.87,Litre,monthly,spring
867,Phosphate de calcium granulaire,engrais,877.51,Mètre cube,daily,winter
