id,nom_ressource,type_ressource,quantite,unite_mesure,Usage Frequency,Saison,"surface_couvré"
434,Graines de pastèque,carburant,785.61,Gramme,monthly,fall,319 m²
435,Substrat pour culture hydroponique,carburant,394.05,Millilitre,daily,summer,905 m²
436,Graines de colza,engrais,638.04,Millilitre,monthly,fall,952 m²
437,Compost à base de déchets verts,semences,642.75,Hectare,,fall,544 m²
438,Engrais pour orchidées,semences,402.67,Acre,weekly,summer,451 m²
439,Système de serre modulable,carburant,409.56,Kilogramme,weekly,summer,604 m²
440,Désherbant systémique non toxique,carburant,911.79,Kilogramme,monthly,spring,343 m²
441,Engrais minéral à base de soufre,carburant,893.14,Hectare,daily,winter,269 m²
442,Engrais potassique soluble,semences,545.78,Acre,,winter,580 m²
443,Système d’irrigation en goutte à goutte,eau,296.11,Hectare,weekly,winter,201 m²
444,Graines de pois chiche,semences,758.19,Acre,,winter,905 m²
445,Gaz propane pour chauffages,semences,701.18,Kilogramme,monthly,spring,604 m²
446,Pesticide à base d'extraits de plantes,engrais,900.86,Millilitre,,winter,355 m²
447,Système d’irrigation par aspersion,eau,958.25,Kilogramme,daily,winter,556 m²
448,Engrais en poudre,eau,545.58,Acre,monthly,spring,897 m²
449,Engrais naturel à base de farine d’os,engrais,461.89,Hectare,weekly,summer,120 m²
450,Kit d'irrigation pour potager,semences,541.12,Kilogramme,,summer,678 m²
451,Charrue à deux socs,carburant,1.84,Millilitre,weekly,spring,583 m²
452,Terre noire pour plantation,eau,376.39,Millilitre,,winter,319 m²
453,Engrais phosphoré pour tubercules,engrais,365.64,Litre,daily,summer,146 m²
454,Carburant à base d'huile usagée,carburant,231.08,Tonnes,monthly,summer,431 m²
455,Engrais à base de lactosérum,semences,485.33,Gramme,daily,winter,297 m²
456,Engrais à base de vinaigre,engrais,101.34,Tonnes,daily,summer,501 m²
457,Réducteur de pression pour irrigation,semences,238.44,Acre,daily,spring,627 m²
458,Graines de cerise,eau,621.06,Gramme,monthly,winter,859 m²
459,Semences d’aubergine,semences,451.83,Acre,daily,summer,781 m²
460,Insecticide à base de méthomyl,eau,4.6,Gramme,weekly,winter,683 m²
461,Solution nutritive hydroponique,semences,343.99,Mètre cube,daily,spring,328 m²
462,Engrais azoté NPK 20-20-20,carburant,949.93,Acre,daily,fall,859 m²
463,Carburant à base de biomasse,engrais,679.08,Acre,weekly,winter,990 m²
464,Semences de sauge,carburant,403.3,Gramme,,fall,881 m²
465,Engrais liquide pour légumes,eau,316.89,Mètre cube,daily,spring,172 m²
466,Réservoir d'eau potable,engrais,364.74,Litre,monthly,winter,146 m²
467,Fongicide au soufre micronisé,engrais,259.77,Kilogramme,weekly,spring,210 m²
468,Engrais naturel à base de farine d’os,semences,314.79,Hectare,weekly,summer,737 m²
469,Engrais liquide à base de poisson,engrais,324.02,Gramme,monthly,spring,184 m²
470,Tuyaux d'irrigation en PVC,semences,720.22,Kilogramme,,summer,406 m²
471,Engrais minéral complexe,carburant,27.52,Millilitre,daily,spring,455 m²
472,Pesticide à base d'huile de citronnelle,semences,62.58,Kilogramme,weekly,winter,812 m²
473,Semences de sésame,carburant,555.95,Hectare,monthly,spring,431 m²
474,Engrais pour pelouse et jardins,engrais,198.44,Tonnes,daily,summer,385 m²
475,Semences de coriandre,semences,899.96,Kilogramme,daily,fall,146 m²
476,Pesticide à base de pyriproxyfène,eau,714.29,Kilogramme,daily,summer,313 m²
477,Fongicide au soufre micronisé,semences,24.59,Hectare,weekly,spring,881 m²
478,Engrais à base de lactosérum,engrais,540.27,Kilogramme,weekly,summer,859 m²
479,Biocarburant à base de colza,carburant,279.78,Acre,daily,spring,210 m²
480,Réservoir d’eau de pluie 1000L,engrais,27.33,Gramme,monthly,spring,475 m²
481,Carburant à base de biomasse,eau,735.58,Millilitre,daily,fall,395 m²
482,Kit de goutte à goutte portable,carburant,36.96,Litre,monthly,summer,886 m²
483,Gravier pour drainage,eau,8.38,Hectare,weekly,spring,646 m²
484,Graines de cerise,engrais,28.2,Litre,daily,winter,234 m²
485,Insecticide à base de abamectine,carburant,16.76,Hectare,weekly,summer,546 m²
486,Engrais potassique soluble,engrais,209,Tonnes,,winter,156 m²
487,Insecticide à base de méthomyl,engrais,746.94,Litre,weekly,fall,201 m²
488,Compost à base de déchets verts,eau,75.59,Gramme,,winter,100 m²
489,Propane pour réchaud,eau,578.54,Acre,daily,summer,290 m²
490,Fongicide au soufre micronisé,semences,975.52,Tonnes,,winter,412 m²
491,Pesticide à base de formaldéhyde,eau,177.75,Litre,daily,spring,905 m²
492,Carburant à base d'huile usagée,semences,632.36,Tonnes,,winter,716 m²
493,Semences de piment,carburant,1000.01,Gramme,monthly,summer,387 m²
494,Paillis organique pour jardin,semences,351.95,Hectare,,fall,614 m²
495,Éthanol à base de maïs,engrais,267.96,Litre,,spring,792 m²
496,Graines de kiwi,carburant,499.05,Millilitre,daily,summer,158 m²
497,Insecticide à base de imidaclopride,engrais,828.82,Kilogramme,daily,winter,841 m²
498,Engrais foliaire au magnésium,engrais,28.38,Litre,monthly,spring,127 m²
499,Graines de menthe,semences,448.36,Kilogramme,weekly,spring,858 m²
500,Insecticide à base de diatomée,carburant,532.73,Litre,monthly,winter,580 m²
501,Engrais pour orchidées,eau,170.68,Mètre cube,weekly,fall,841 m²
502,Fongicide à base de captane,eau,796.22,Litre,,spring,748 m²
503,Engrais pour plantes d'intérieur,carburant,353.01,Kilogramme,,fall,145 m²
504,Engrais phosphoré pour tubercules,eau,790.18,Hectare,weekly,summer,199 m²
505,Kit de goutte à goutte portable,carburant,469.53,Hectare,daily,winter,699 m²
506,Système d'irrigation par aspersion,semences,939.03,Tonnes,,winter,491 m²
507,Insecticide à base de imidaclopride,semences,809.9,Kilogramme,,spring,934 m²
508,Pesticide à base de baccillus thuringiensis,semences,322.19,Millilitre,,spring,145 m²
509,Insecticide à base de chlorpyrifos,carburant,331.73,Millilitre,daily,spring,508 m²
510,Kit de micro-irrigation automatisée,eau,900.74,Hectare,weekly,winter,477 m²
511,Engrais à base de fumier de cheval,carburant,563.7,Hectare,weekly,summer,422 m²
512,Fongicide biologique pour fraisiers,eau,935.54,Hectare,weekly,fall,295 m²
513,Engrais riche en calcium,engrais,117.77,Millilitre,weekly,fall,914 m²
514,Eau purifiée pour irrigation goutte-à-goutte,semences,646.95,Mètre cube,,winter,509 m²
515,Gaz de ville pour équipements,semences,580.74,Gramme,monthly,summer,500 m²
516,Gazole pour engins de chantier,carburant,965.34,Mètre cube,weekly,spring,782 m²
517,Paillis organique pour jardin,eau,360.07,Hectare,daily,winter,388 m²
518,Engrais à base de fumier de cheval,semences,704.38,Gramme,weekly,winter,158 m²
519,Gaz de ville pour équipements,carburant,719.04,Hectare,daily,summer,762 m²
520,Insecticide à base de chlorpyrifos,engrais,670.72,Gramme,daily,winter,275 m²
521,Semences de laitue romaine,engrais,432.42,Kilogramme,daily,fall,786 m²
522,Engrais enrichi en fer,eau,872.09,Kilogramme,,spring,600 m²
523,Équipement de protection individuelle,semences,410.18,Gramme,,spring,914 m²
524,Culture d’algues pour compost,semences,226.38,Tonnes,daily,spring,810 m²
525,Graines de fruits exotiques,carburant,653.86,Litre,daily,winter,355 m²
526,Système de filtration pour irrigation,engrais,623.97,Acre,daily,fall,694 m²
527,Semences de laitue romaine,eau,683.03,Gramme,,winter,858 m²
528,Engrais en poudre,engrais,970.15,Millilitre,,fall,841 m²
529,Graines de pastèque,carburant,954.87,Kilogramme,,spring,952 m²
530,Insecticide biologique à base de pyréthre,semences,761.13,Kilogramme,,fall,699 m²
531,Pesticide à base de thiaméthoxame,carburant,828.37,Gramme,,fall,476 m²
532,Semences de concombre,semences,2.83,Tonnes,monthly,winter,699 m²
533,Fongicide à base de propiconazole,carburant,278.51,Litre,weekly,fall,693 m²
534,Engrais pour orchidées,eau,866.63,Hectare,daily,summer,926 m²
535,Insecticide à base de abamectine,carburant,456.58,Mètre cube,weekly,fall,926 m²
536,Semences de coriandre,eau,929.31,Tonnes,daily,summer,578 m²
537,Propane pour réchaud,eau,168.29,Millilitre,monthly,summer,175 m²
538,Semences de gingembre,engrais,869.08,Kilogramme,,summer,504 m²
539,Fongicide à base de cuivre,carburant,589.2,Mètre cube,,winter,574 m²
540,Système d’irrigation par aspersion,eau,503.69,Hectare,daily,fall,460 m²
541,Kit d'irrigation pour potager,carburant,31.02,Mètre cube,,fall,318 m²
542,Électricité solaire pour pompe,engrais,42.05,Acre,monthly,fall,579 m²
543,Terre noire pour plantation,engrais,563.06,Mètre cube,monthly,spring,721 m²
544,Électricité solaire pour pompe,carburant,555.26,Litre,daily,spring,711 m²
545,Graines de tomate cerise,carburant,569.42,Mètre cube,weekly,spring,803 m²
546,Système de filtrage d'eau,semences,506.12,Tonnes,daily,fall,460 m²
547,Pesticide à base de thiaclopride,semences,899.07,Acre,weekly,fall,460 m²
548,Gravier pour drainage,semences,858.93,Kilogramme,,spring,247 m²
549,Semences d'amande,carburant,788.42,Kilogramme,,spring,355 m²
550,Semences de courgette,eau,406.06,Litre,daily,spring,142 m²
551,Biopesticide à base de neem,carburant,432.51,Hectare,,winter,313 m²
552,Semences d’aubergine,eau,206.22,Hectare,,winter,871 m²
553,Réservoir d'eau enterré,engrais,183.93,Kilogramme,weekly,spring,781 m²
554,Engrais universel pour toutes cultures,semences,238.84,Mètre cube,monthly,winter,395 m²
555,Herbicide à base d'acide acétique,eau,95.02,Mètre cube,weekly,summer,890 m²
556,Semences de sauge,semences,960.68,Mètre cube,,fall,504 m²
557,Paillis organique pour jardin,semences,31.54,Kilogramme,,fall,509 m²
558,Graines de poivron,carburant,696.39,Hectare,,summer,804 m²
559,Engrais universel pour toutes cultures,semences,955.05,Mètre cube,daily,fall,577 m²
560,Pesticide à base de fongus entomopathogène,semences,53.19,Kilogramme,,summer,295 m²
561,Semences de fenouil,eau,748.26,Kilogramme,monthly,spring,970 m²
562,Fongicide à base de benomyl,carburant,956.31,Kilogramme,,winter,619 m²
563,Insecticide à base de abamectine,eau,7.67,Gramme,daily,summer,712 m²
564,Équipement de protection individuelle,semences,639.54,Millilitre,monthly,summer,721 m²
565,Cactus comme plante d'intérieur,eau,254.12,Litre,daily,spring,142 m²
566,Engrais à base de lactosérum,engrais,709.53,Acre,monthly,spring,532 m²
567,Semences de gingembre,engrais,440.94,Acre,,winter,232 m²
568,Engrais pour fruits et légumes,engrais,962.03,Gramme,weekly,summer,858 m²
569,Système d’irrigation par aspersion,eau,280.03,Acre,monthly,summer,275 m²
570,Fongicide à base de cuivre,eau,548.81,Hectare,,winter,751 m²
571,Kit d'irrigation pour potager,engrais,487.5,Mètre cube,daily,spring,782 m²
572,Fongicide à base de mancozèbe,engrais,298.18,Tonnes,,winter,455 m²
573,Insecticide à base de pyréthrines,carburant,301.99,Gramme,daily,winter,457 m²
574,Semences de groseille,engrais,451.34,Hectare,monthly,summer,847 m²
575,Eau purifiée pour irrigation goutte-à-goutte,semences,436.27,Gramme,,winter,510 m²
576,Pulvérisateur électrique 15L,eau,813.93,Kilogramme,,spring,897 m²
577,Semences de riz basmati,semences,581.5,Gramme,weekly,spring,209 m²
578,Semences de concombre,eau,463.85,Mètre cube,daily,winter,501 m²
579,Réservoir d'eau potable,eau,874.84,Hectare,monthly,spring,247 m²
580,Réservoir d'eau enterré,carburant,937.74,Gramme,,fall,240 m²
581,Fongicide au soufre micronisé,eau,305.84,Litre,weekly,summer,574 m²
582,Solution nutritive hydroponique,engrais,303.54,Mètre cube,,fall,778 m²
583,Engrais potassique soluble,eau,992.27,Hectare,monthly,winter,578 m²
584,Insecticide à base de imidaclopride,semences,832.28,Litre,monthly,winter,922 m²
585,Pulvérisateur électrique 15L,carburant,432.09,Millilitre,monthly,spring,487 m²
586,Engrais à base de sulfate de potassium,engrais,761.28,Litre,,winter,500 m²
587,Pesticide à base de azadirachtine,eau,720.45,Kilogramme,daily,summer,649 m²
588,Engrais pour pelouse et jardins,engrais,765,Kilogramme,weekly,fall,355 m²
589,Gazole pour engins de chantier,carburant,499.88,Hectare,daily,fall,865 m²
590,Système d'irrigation goutte à goutte,semences,607.72,Acre,weekly,spring,848 m²
591,Débroussailleuse à essence,semences,774.8,Litre,daily,fall,732 m²
592,Moissonneuse-batteuse pour blé,carburant,313.87,Hectare,,winter,751 m²
593,Cendres de bois comme amendement,eau,847.8,Hectare,weekly,fall,487 m²
594,Carburant diesel pour machines agricoles,eau,300.47,Kilogramme,weekly,fall,476 m²
595,Engrais à base de compost de vers,carburant,330.16,Tonnes,monthly,fall,721 m²
596,Énergie solaire pour pompes,engrais,607.16,Tonnes,,summer,156 m²
597,Carburant à base de biomasse,engrais,865.31,Tonnes,monthly,winter,614 m²
598,Engrais à base de sulfate de potassium,semences,599.35,Litre,monthly,fall,457 m²
599,Engrais organique à base de trèfle,eau,63.33,Mètre cube,,summer,500 m²
600,Éthanol à base de maïs,engrais,977.54,Litre,weekly,spring,671 m²
601,Semences de gingembre,eau,19.78,Mètre cube,weekly,summer,627 m²
602,Engrais riche en calcium,eau,38.6,Gramme,,spring,886 m²
603,Semences de framboise,carburant,946.17,Tonnes,weekly,fall,721 m²
604,Semences d’aubergine,carburant,522.7,Gramme,daily,fall,712 m²
605,Moissonneuse-batteuse pour blé,carburant,748.25,Millilitre,daily,winter,926 m²
606,Semences d'amande,semences,162.24,Mètre cube,daily,summer,500 m²
607,Engrais à libération rapide,semences,920.1,Hectare,monthly,spring,244 m²
608,Graines de pastèque,carburant,972.16,Kilogramme,monthly,spring,954 m²
609,Engrais à base de farine de sang,engrais,991.64,Hectare,,winter,875 m²
610,Système de filtration pour irrigation,semences,163.33,Mètre cube,monthly,fall,487 m²
611,Semences de soja,carburant,562,Gramme,daily,fall,319 m²
612,Propane pour réchaud,engrais,608.78,Hectare,weekly,summer,578 m²
613,Système d’irrigation en goutte à goutte,carburant,918.18,Litre,monthly,summer,937 m²
614,Semences d'amande,carburant,905.27,Mètre cube,weekly,spring,130 m²
615,Énergie éolienne pour ferme,eau,970.52,Acre,,winter,778 m²
616,Carburant à base de biomasse,eau,862.88,Kilogramme,weekly,summer,361 m²
617,Équipement de désherbage manuel,semences,11.21,Hectare,weekly,spring,890 m²
618,Eau de pluie pour cultures,eau,656.09,Kilogramme,weekly,winter,897 m²
619,Semences d’aubergine,semences,935,Mètre cube,weekly,summer,489 m²
620,Charbon pour chaudière,semences,280.63,Acre,weekly,summer,451 m²
621,Équipement de désherbage manuel,eau,692.86,Kilogramme,weekly,spring,922 m²
622,Système de serre modulable,carburant,482.8,Millilitre,weekly,summer,172 m²
623,Pesticide à base de bicarbonate de soude,semences,9.09,Litre,daily,winter,432 m²
624,Insecticide à base de imidaclopride,eau,912.04,Litre,daily,spring,502 m²
625,Engrais à base de compost de vers,eau,969.07,Mètre cube,weekly,fall,778 m²
626,Charbon pour chaudière,carburant,139.94,Litre,weekly,winter,175 m²
627,Culture d’algues pour compost,semences,844.81,Millilitre,monthly,winter,886 m²
628,Biocarburant à base de colza,eau,570.88,Mètre cube,monthly,winter,926 m²
629,Herbicide à base de metolachlore,engrais,776.24,Tonnes,weekly,spring,612 m²
630,Pesticide à base de thiaméthoxame,eau,638.72,Kilogramme,weekly,fall,345 m²
631,Pesticide à base de baccillus thuringiensis,eau,712.73,Hectare,daily,fall,177 m²
632,Engrais azoté NPK 20-20-20,engrais,966.56,Litre,monthly,winter,244 m²
633,Tracteur électrique,carburant,933.47,Tonnes,daily,summer,755 m²
634,Fongicide biologique pour fraisiers,carburant,72.11,Mètre cube,monthly,summer,952 m²
635,Semences de haricot vert,eau,971.58,Litre,daily,spring,556 m²
636,Eau de source pour agriculture,eau,808.27,Acre,monthly,fall,678 m²
637,Engrais pour orchidées,carburant,405.71,Acre,,winter,579 m²
638,Sable pour drainage,carburant,246.96,Gramme,weekly,winter,909 m²
639,Sable pour drainage,semences,736.39,Tonnes,daily,spring,299 m²
640,Énergie solaire pour pompes,engrais,25.42,Kilogramme,daily,summer,914 m²
641,Biocarburant à base de colza,engrais,67.09,Gramme,daily,winter,582 m²
642,Semences de chou-fleur,eau,159.05,Mètre cube,,fall,810 m²
643,Semences de laitue romaine,semences,683.7,Hectare,weekly,fall,847 m²
644,Insecticide à base de méthomyl,carburant,350.63,Hectare,weekly,summer,504 m²
645,Pompe d’irrigation solaire,semences,635.59,Hectare,weekly,spring,244 m²
646,Insecticide à base de lambda-cyhalothrine,semences,730.57,Hectare,daily,spring,890 m²
647,Insecticide biologique à base de pyréthre,engrais,703.4,Litre,monthly,summer,275 m²
648,Insecticide à base de diatomée,engrais,491.93,Tonnes,monthly,spring,904 m²
649,Insecticide à base de diatomée,carburant,554.49,Hectare,,spring,100 m²
650,Filet de protection anti-insectes,carburant,757.26,Mètre cube,daily,winter,729 m²
651,Kit de goutte à goutte portable,engrais,50.2,Mètre cube,daily,winter,130 m²
652,Désherbant systémique non toxique,carburant,137.71,Millilitre,,summer,295 m²
653,Herbicide à base de glyphosate,eau,95.5,Kilogramme,,fall,762 m²
654,Carburant biodiesel,semences,736.51,Gramme,,summer,100 m²
655,Engrais organique à base de compost,semences,643.08,Mètre cube,monthly,fall,801 m²
656,Insecticide à base de spinosad,carburant,519.79,Mètre cube,,fall,694 m²
657,Système de serre modulable,eau,260.03,Tonnes,daily,fall,693 m²
658,Réducteur de pression pour irrigation,semences,248.77,Mètre cube,weekly,fall,810 m²
659,Pesticide à base de linalol,carburant,333.71,Litre,daily,summer,275 m²
660,Engrais à libération rapide,semences,603.52,Acre,daily,summer,130 m²
661,Semences de framboise,carburant,940.25,Acre,monthly,fall,926 m²
662,Engrais enrichi en fer,eau,108.92,Hectare,weekly,fall,764 m²
663,Pesticide à base de thiaclopride,engrais,23.96,Mètre cube,weekly,fall,345 m²
664,Semences de gingembre,engrais,548.91,Kilogramme,,summer,299 m²
665,Semences de chou-fleur,eau,604.13,Millilitre,,winter,762 m²
666,Réservoir d'eau potable,engrais,313.5,Acre,daily,summer,778 m²
667,Épices pour agriculture bio,carburant,823.54,Kilogramme,monthly,spring,328 m²
668,Semences de haricot vert,engrais,150.73,Tonnes,daily,winter,904 m²
669,Réducteur de pression pour irrigation,eau,1000.96,Millilitre,monthly,fall,712 m²
670,Réservoir d'eau potable,carburant,160.56,Tonnes,,spring,232 m²
671,Engrais minéral complexe,engrais,333.54,Acre,,spring,758 m²
672,Pesticide à base de linalol,semences,110.17,Hectare,daily,fall,841 m²
673,Biogaz pour chauffage,eau,887.23,Millilitre,,fall,501 m²
674,Engrais riche en calcium,engrais,903.67,Gramme,daily,winter,810 m²
675,Semences d'amande,semences,339.74,Kilogramme,weekly,winter,678 m²
676,Graines de pois chiche,semences,589.28,Acre,weekly,fall,475 m²
677,Engrais pour fleurs annuelles,carburant,411.52,Hectare,weekly,spring,192 m²
678,Semences de fenouil,engrais,375.36,Kilogramme,monthly,winter,286 m²
679,Énergie solaire pour pompes,semences,890.98,Litre,monthly,summer,577 m²
680,Semences de carotte,semences,279.37,Litre,daily,spring,130 m²
681,Engrais à libération lente,engrais,961.95,Tonnes,weekly,spring,970 m²
682,Pétrole pour tracteurs,semences,54.54,Kilogramme,daily,winter,297 m²
683,Gaz de ville pour équipements,engrais,416.63,Gramme,daily,winter,821 m²
684,Graines de pastèque,eau,688.41,Kilogramme,daily,winter,500 m²
685,Biocarburant à base de déchets,eau,930.87,Gramme,weekly,fall,693 m²
686,Tracteur compact polyvalent,engrais,337.41,Tonnes,daily,summer,859 m²
687,Semoir automatique de précision,eau,138.4,Millilitre,weekly,spring,721 m²
688,Engrais organique à base de compost,carburant,719.39,Tonnes,weekly,spring,937 m²
689,Terre noire pour plantation,engrais,936.09,Tonnes,,winter,699 m²
690,Engrais organique à base de compost,eau,324.77,Mètre cube,weekly,winter,150 m²
691,Kit de micro-irrigation automatisée,eau,58.55,Tonnes,monthly,summer,886 m²
692,Système d'irrigation goutte à goutte,carburant,301.49,Tonnes,daily,summer,847 m²
693,Charbon pour chaudière,semences,884.75,Mètre cube,monthly,summer,678 m²
694,Fongicide à base de propiconazole,eau,122.5,Hectare,daily,fall,678 m²
695,Graines de fruits exotiques,eau,552.21,Gramme,weekly,winter,504 m²
696,Système d’irrigation en goutte à goutte,semences,211.06,Litre,,winter,142 m²
697,Paille de blé pour paillage,eau,645.29,Tonnes,weekly,spring,510 m²
698,Équipement de désherbage manuel,carburant,769.17,Acre,monthly,fall,319 m²
699,Engrais pour pelouse et jardins,carburant,627.93,Mètre cube,weekly,winter,491 m²
700,Engrais universel pour toutes cultures,carburant,932.19,Litre,,spring,934 m²
701,Semences de sauge,semences,228.41,Hectare,,spring,544 m²
702,Filet de protection anti-insectes,carburant,496.55,Litre,weekly,winter,737 m²
703,Gaz naturel pour tracteurs,eau,664.97,Tonnes,daily,winter,938 m²
704,Engrais pour pelouse et jardins,engrais,654.39,Hectare,daily,winter,355 m²
705,Réducteur de pression pour irrigation,semences,91.12,Acre,,fall,345 m²
706,Réservoir d'eau potable,eau,116.09,Acre,,summer,821 m²
707,Graines de colza,carburant,947.5,Mètre cube,monthly,fall,
708,Engrais à base de lactosérum,eau,325.83,Hectare,,summer,847 m²
709,Engrais à libération rapide,carburant,453.75,Mètre cube,monthly,fall,199 m²
710,Engrais bio pour plantes d'intérieur,engrais,278.43,Acre,monthly,spring,319 m²
711,Biocarburant à base de déchets,engrais,730.75,Kilogramme,daily,winter,510 m²
712,Engrais NPK 10-20-20,engrais,415.66,Hectare,daily,fall,136 m²
713,Biocarburant à base de déchets,semences,363.31,Hectare,weekly,summer,209 m²
714,Semences de courgette,engrais,323.73,Gramme,monthly,winter,698 m²
715,Électricité solaire pour pompe,eau,86.83,Gramme,monthly,fall,841 m²
716,Pesticide à base de formaldéhyde,carburant,947.64,Hectare,daily,fall,422 m²
717,Semences d'amande,engrais,154.71,Millilitre,daily,winter,150 m²
718,Engrais pour pelouse et jardins,carburant,618.67,Mètre cube,daily,spring,487 m²
719,Insecticide à base de abamectine,carburant,333.65,Tonnes,,winter,142 m²
720,Fongicide à base de propiconazole,carburant,347.52,Kilogramme,weekly,spring,748 m²
721,Fongicide à base de mancozèbe,semences,587.34,Mètre cube,monthly,summer,875 m²
722,Solution nutritive hydroponique,carburant,164,Tonnes,,fall,740 m²
723,Insecticide à base de imidaclopride,carburant,358.99,Millilitre,daily,fall,423 m²
724,Engrais à base de farine de sang,eau,888.82,Gramme,weekly,summer,678 m²
725,Équipement de protection individuelle,eau,116.53,Hectare,monthly,spring,328 m²
726,Engrais à base de sulfate de potassium,eau,456.67,Acre,,spring,481 m²
727,Herbicide à base d'acide acétique,semences,256.67,Millilitre,,winter,410 m²
728,Engrais à base de sang séché,eau,888.49,Kilogramme,,winter,604 m²
729,Insecticide à base de chlorpyrifos,carburant,439.47,Litre,daily,summer,156 m²
730,Kit de goutte à goutte portable,eau,437.77,Mètre cube,weekly,summer,422 m²
731,Semences de blé tendre,eau,207.39,Acre,daily,fall,607 m²
732,Engrais à base de vinaigre,carburant,643.97,Millilitre,weekly,spring,136 m²
733,Insecticide à base de diatomée,semences,381.45,Hectare,,spring,755 m²
734,Insecticide à base de spinosad,eau,835.62,Acre,weekly,winter,614 m²
735,Énergie éolienne pour ferme,carburant,828.73,Litre,weekly,fall,210 m²
736,Fongicide au soufre micronisé,carburant,89.56,Acre,,spring,369 m²
737,Semences de thym,semences,16.3,Acre,,fall,160 m²
738,Semences de brocoli,carburant,662.38,Kilogramme,daily,winter,538 m²
739,Fongicide à base de cuivre,engrais,753.05,Kilogramme,,winter,607 m²
740,Semences de radis,carburant,742.01,Kilogramme,monthly,fall,299 m²
741,Cactus comme plante d'intérieur,eau,632.1,Hectare,daily,fall,244 m²
742,Engrais à base de sulfate de potassium,semences,210.34,Kilogramme,daily,summer,954 m²
743,Engrais bio pour plantes d'intérieur,carburant,801.47,Kilogramme,monthly,spring,583 m²
744,Culture d’algues pour compost,semences,149.77,Gramme,daily,fall,487 m²
745,Engrais à base de vinaigre,semences,98.57,Hectare,daily,winter,295 m²
746,Semences de radis,semences,30.42,Acre,daily,spring,627 m²
747,Carburant à base de biomasse,eau,653.8,Tonnes,,summer,508 m²
748,Cendres de bois comme amendement,semences,92.65,Litre,monthly,summer,240 m²
749,Épices pour agriculture bio,eau,377.18,Mètre cube,weekly,winter,580 m²
750,Ensileuse pour récoltes fourragères,engrais,872.85,Kilogramme,monthly,fall,556 m²
751,Carburant biodiesel,carburant,713.01,Acre,,fall,244 m²
752,Pesticide à base de bicarbonate de soude,eau,430.96,Hectare,,fall,219 m²
753,Semences de gingembre,engrais,983.91,Mètre cube,,spring,890 m²
754,Pesticide à base de bicarbonate de soude,carburant,663.09,Hectare,daily,winter,247 m²
755,Épices pour agriculture bio,semences,478.9,Kilogramme,daily,fall,563 m²
756,Engrais organique à base de trèfle,semences,300.37,Litre,,spring,590 m²
757,Herbicide à base de pelargonium,carburant,852.51,Millilitre,daily,spring,812 m²
758,Engrais à base de vinaigre,carburant,862.41,Tonnes,daily,fall,184 m²
759,Eau de pluie filtrée,engrais,239.24,Tonnes,monthly,fall,328 m²
760,Fongicide à base de cuivre,carburant,864.72,Gramme,daily,winter,897 m²
761,Réservoir d'eau potable,eau,206.72,Tonnes,,winter,247 m²
762,Graines de menthe,engrais,16.06,Millilitre,daily,winter,423 m²
763,Carburant à base de biomasse,eau,6.92,Acre,monthly,summer,875 m²
764,Semences de concombre,eau,337.37,Mètre cube,,winter,423 m²
765,Engrais à base de cendre de bois,semences,37.2,Kilogramme,weekly,summer,297 m²
