id,nom_ressource,type_ressource,quantite,unite_mesure,Usage Frequency,Saison,"surface_couvré"
766,Engrais en granulés,semences,255.86,Gramme,weekly,winter,361 m²
767,Paillis organique pour jardin,engrais,238.84,Kilogramme,monthly,fall,721 m²
768,Fongicide à base de benomyl,carburant,100.93,Gramme,weekly,winter,481 m²
769,Insecticide à base de abamectine,semences,901.78,Litre,monthly,winter,580 m²
770,Essence pour tondeuse à gazon,engrais,189.19,Tonnes,,fall,583 m²
771,Faucheuse à barre de coupe,eau,340.59,Millilitre,weekly,spring,111 m²
772,Tracteur électrique,engrais,59.95,Gramme,weekly,fall,290 m²
773,Réservoir d'eau enterré,carburant,333.21,Kilogramme,daily,fall,544 m²
774,Eau purifiée pour irrigation goutte-à-goutte,semences,249.07,Kilogramme,daily,winter,111 m²
775,Biopesticide à base de saponines,carburant,296.78,Tonnes,,fall,600 m²
776,Terre noire pour plantation,carburant,52.54,Millilitre,weekly,spring,422 m²
777,Système de filtrage d'eau,engrais,380.6,Acre,daily,fall,
778,Carburant à base d'huile usagée,engrais,806.37,Acre,monthly,fall,764 m²
779,Semoir automatique de précision,carburant,944.27,Litre,monthly,winter,387 m²
780,Carburant biodiesel,carburant,553.29,Acre,daily,summer,395 m²
781,Herbicide à base d'acide acétique,eau,534.34,Hectare,,winter,509 m²
782,Insecticide à base de chlorpyrifos,eau,432.74,Hectare,monthly,winter,297 m²
783,Fertilisant biologique à base d’algues,carburant,784.75,Litre,daily,fall,522 m²
784,Engrais en poudre,semences,771.31,Hectare,weekly,fall,938 m²
785,Engrais à base de vinaigre,eau,360.6,Litre,,winter,803 m²
786,Semences de coriandre,semences,657.47,Hectare,daily,winter,406 m²
787,Semences de groseille,eau,886.25,Hectare,weekly,fall,804 m²
788,Engrais pour fruits et légumes,carburant,572.26,Kilogramme,daily,summer,544 m²
789,Semences de romarin,eau,987.1,Acre,weekly,winter,201 m²
790,Semences d’aubergine,eau,364.78,Kilogramme,weekly,winter,847 m²
791,Graines de kiwi,eau,580.04,Litre,weekly,summer,146 m²
792,Système d'irrigation par aspersion,eau,442.12,Gramme,,fall,556 m²
793,Fertilisant biologique à base d’algues,carburant,202.33,Litre,,summer,909 m²
794,Fongicide à base de captane,engrais,876.31,Millilitre,,winter,219 m²
795,Épices pour agriculture bio,carburant,338.11,Hectare,monthly,winter,145 m²
796,Semences de romarin,carburant,470.3,Kilogramme,,fall,472 m²
797,Sable pour drainage,semences,897.92,Kilogramme,daily,fall,374 m²
798,Graines de fruits exotiques,carburant,189.12,Acre,daily,winter,175 m²
799,Semences de thym,carburant,413.39,Hectare,daily,summer,247 m²
800,Engrais à base de sulfate de potassium,carburant,914.28,Litre,monthly,spring,605 m²
801,Faucheuse à barre de coupe,eau,231.69,Litre,monthly,summer,361 m²
802,Biopesticide à base de saponines,semences,916.87,Kilogramme,monthly,winter,160 m²
803,Réservoir d’eau de pluie 1000L,carburant,497.95,Acre,weekly,spring,716 m²
804,Semences de millet,semences,868.48,Millilitre,weekly,fall,801 m²
805,Pompe d’irrigation solaire,semences,601.99,Kilogramme,,fall,579 m²
806,Sable pour drainage,eau,51.54,Mètre cube,daily,fall,142 m²
807,Pesticide à base de formaldéhyde,carburant,941.98,Kilogramme,weekly,summer,1000 m²
808,Engrais en poudre,carburant,575.79,Kilogramme,weekly,fall,215 m²
809,Pesticide à base de linalol,carburant,158.39,Gramme,daily,spring,489 m²
810,Engrais minéral à base de soufre,semences,784.95,Tonnes,weekly,fall,563 m²
811,Semences de coriandre,semences,68.46,Hectare,daily,fall,721 m²
812,Système d’irrigation par aspersion,semences,571.91,Tonnes,daily,winter,671 m²
813,Biopesticide à base de neem,eau,493.67,Hectare,monthly,winter,870 m²
814,Charbon pour chaudière,semences,46.98,Litre,,spring,500 m²
815,Insecticide à base de diatomée,eau,971.45,Hectare,,summer,487 m²
816,Semences de riz basmati,eau,211.64,Tonnes,,winter,671 m²
817,Système d'irrigation par aspersion,carburant,349.05,Mètre cube,weekly,fall,671 m²
818,Engrais à base de guano,engrais,156.82,Acre,weekly,summer,319 m²
819,Engrais à base de compost de vers,eau,550.53,Hectare,daily,spring,895 m²
820,Graines de fruits exotiques,eau,638.28,Hectare,weekly,summer,201 m²
821,Pesticide à base de baccillus thuringiensis,carburant,471.34,Hectare,daily,winter,579 m²
822,Insecticide à base de pyréthrines,eau,16.5,Tonnes,monthly,spring,886 m²
823,Graines de céleri,carburant,965.42,Hectare,,summer,607 m²
824,Engrais foliaire liquide,carburant,564.18,Hectare,,fall,781 m²
825,Graines de betterave sucrière,semences,862.38,Millilitre,monthly,fall,328 m²
826,Énergie solaire pour pompes,eau,515.15,Hectare,daily,spring,538 m²
827,Insecticide systémique pour rosier,semences,387.43,Mètre cube,monthly,spring,952 m²
828,Semences de blé tendre,engrais,696.23,Tonnes,weekly,fall,804 m²
829,Semences de carotte,semences,971.44,Gramme,daily,fall,215 m²
830,Système d’irrigation en goutte à goutte,carburant,539.94,Hectare,monthly,summer,671 m²
831,Ensileuse pour récoltes fourragères,carburant,502.8,Kilogramme,,spring,678 m²
832,Engrais à base de sang séché,carburant,559.84,Millilitre,daily,winter,358 m²
833,Carburant à base de biomasse,eau,351.92,Hectare,weekly,summer,145 m²
834,Pesticide à base de bicarbonate de soude,eau,208.34,Mètre cube,daily,winter,633 m²
835,Graines de tomate cerise,semences,748.05,Kilogramme,,summer,614 m²
836,Éthanol à base de maïs,engrais,409.09,Acre,,winter,290 m²
837,Fongicide à base de captane,eau,849.79,Litre,monthly,spring,909 m²
838,Fongicide à base de captane,eau,123.82,Gramme,monthly,winter,489 m²
839,Fertilisant biologique à base d’algues,carburant,720.52,Tonnes,monthly,spring,343 m²
840,Essence pour tondeuse à gazon,engrais,715.1,Kilogramme,weekly,fall,460 m²
841,Graines de tomate cerise,semences,617.97,Millilitre,daily,winter,295 m²
842,Fongicide à base de tébuconazole,engrais,633.93,Kilogramme,weekly,summer,319 m²
843,Réducteur de pression pour irrigation,semences,417.61,Hectare,daily,spring,455 m²
844,Biocarburant à base de colza,engrais,25.26,Litre,weekly,winter,361 m²
845,Système de serre modulable,semences,237.6,Millilitre,,fall,721 m²
846,Tracteur électrique,semences,765.89,Millilitre,weekly,spring,847 m²
847,Insecticide à base de spinosad,semences,308.34,Litre,monthly,fall,990 m²
848,Semences de groseille,carburant,362.49,Hectare,monthly,summer,577 m²
849,Graines de menthe,engrais,178.17,Mètre cube,daily,winter,812 m²
850,Paille de blé pour paillage,carburant,988.8,Gramme,daily,spring,841 m²
851,Engrais à base de cendre de bois,carburant,989.83,Millilitre,monthly,winter,160 m²
852,Semences de millet,engrais,577.5,Tonnes,,summer,509 m²
853,Pompe d’irrigation solaire,engrais,696.32,Acre,daily,summer,472 m²
854,Insecticide à base de abamectine,engrais,887.44,Hectare,daily,fall,804 m²
855,Engrais naturel à base de farine d’os,semences,725.36,Hectare,monthly,winter,639 m²
856,Engrais à base de vinaigre,carburant,867.79,Acre,,winter,451 m²
857,Éthanol à base de maïs,semences,904.46,Litre,weekly,fall,614 m²
858,Semences d’aubergine,engrais,477.99,Gramme,weekly,fall,871 m²
859,Gaz naturel pour tracteurs,eau,619.36,Acre,weekly,spring,215 m²
860,Phosphate de calcium granulaire,engrais,495.82,Mètre cube,,winter,240 m²
861,Fongicide à base de tébuconazole,semences,951.42,Hectare,weekly,fall,215 m²
862,Gravier pour drainage,carburant,361.76,Hectare,,winter,355 m²
863,Semences de piment,engrais,857.71,Millilitre,,fall,160 m²
864,Semences de piment,semences,62.73,Acre,weekly,winter,563 m²
865,Substrat pour culture hydroponique,semences,408.72,Acre,,spring,839 m²
866,Engrais foliaire liquide,engrais,90.9,Litre,monthly,spring,519 m²
867,Semences de groseille,eau,671.46,Kilogramme,,spring,145 m²
868,Semences de sauge,eau,295.05,Acre,weekly,winter,633 m²
869,Semences de maïs hybride,carburant,729.4,Tonnes,monthly,winter,580 m²
870,Ensileuse pour récoltes fourragères,eau,667.18,Gramme,monthly,spring,184 m²
871,Engrais à base de fumier de cheval,semences,553.57,Tonnes,,winter,970 m²
872,Système de filtration pour irrigation,carburant,615.21,Gramme,weekly,summer,614 m²
873,Gravier pour drainage,engrais,855.53,Millilitre,weekly,fall,100 m²
874,Engrais foliaire au magnésium,engrais,739.63,Acre,weekly,spring,387 m²
875,Système de serre modulable,engrais,686.52,Mètre cube,daily,summer,544 m²
876,Graines de kiwi,semences,868.99,Gramme,weekly,spring,699 m²
877,Pesticide à base de thiaméthoxame,semences,468.8,Mètre cube,,fall,990 m²
878,Charrue à verser,semences,931.92,Tonnes,monthly,winter,219 m²
879,Débroussailleuse à essence,carburant,174.15,Hectare,,winter,269 m²
880,Énergie éolienne pour ferme,eau,677.18,Litre,,spring,858 m²
881,Engrais à base de cendre de bois,engrais,104.22,Kilogramme,monthly,summer,755 m²
882,Pesticide à base de azadirachtine,semences,381.44,Litre,,spring,801 m²
883,Engrais à base de compost de vers,eau,819.01,Gramme,weekly,winter,720 m²
884,Gaz de ville pour équipements,semences,112.44,Kilogramme,daily,winter,142 m²
885,Moissonneuse-batteuse pour blé,carburant,164.07,Hectare,monthly,winter,758 m²
886,Semences de melon,semences,570.94,Millilitre,monthly,summer,232 m²
887,Pesticide à base de thiaclopride,semences,844.23,Millilitre,daily,summer,177 m²
888,Solution nutritive hydroponique,carburant,263.85,Acre,,spring,201 m²
889,Graines de pastèque,carburant,494.72,Litre,monthly,spring,607 m²
890,Eau de pluie pour cultures,eau,393.76,Kilogramme,,winter,328 m²
891,Engrais à base de vinaigre,semences,385.3,Millilitre,weekly,fall,500 m²
892,Terreau de qualité supérieure,eau,856.96,Tonnes,weekly,fall,491 m²
893,Pompe d’irrigation solaire,carburant,376.63,Tonnes,weekly,spring,158 m²
894,Graines de betterave sucrière,engrais,108.68,Gramme,daily,winter,504 m²
895,Treuil pour jardinage,semences,897.49,Gramme,,winter,897 m²
896,Matériel de jardinage à main,carburant,259.25,Mètre cube,daily,summer,319 m²
897,Charrue à deux socs,engrais,717.21,Mètre cube,,fall,385 m²
898,Engrais à base de cendre de bois,carburant,182.99,Millilitre,,winter,415 m²
899,Engrais pour pelouse et jardins,engrais,100.32,Acre,monthly,fall,764 m²
900,Semences de chou-fleur,carburant,789.1,Hectare,monthly,spring,848 m²
901,Engrais organique à base de compost,eau,596.12,Acre,weekly,spring,781 m²
902,Semences d'amande,eau,297.98,Gramme,monthly,spring,172 m²
903,Engrais foliaire au magnésium,eau,791.99,Gramme,daily,fall,801 m²
904,Insecticide à base de imidaclopride,carburant,846.08,Hectare,daily,fall,460 m²
905,Semences de sésame,eau,310.73,Kilogramme,weekly,summer,970 m²
906,Pulvérisateur électrique 15L,semences,429.95,Litre,weekly,winter,643 m²
907,Énergie solaire pour pompes,semences,793.26,Hectare,weekly,winter,406 m²
908,Engrais liquide pour légumes,eau,341.29,Gramme,monthly,fall,423 m²
909,Semences de quinoa,semences,749.37,Mètre cube,daily,summer,764 m²
910,Semences de radis,engrais,974.56,Kilogramme,daily,fall,905 m²
911,Insecticide à base de imidaclopride,semences,1.48,Gramme,monthly,winter,388 m²
912,Engrais riche en calcium,engrais,784.79,Acre,weekly,summer,732 m²
913,Système de filtrage d'eau,semences,526.66,Hectare,monthly,winter,145 m²
914,Engrais potassique soluble,engrais,922.63,Hectare,weekly,summer,247 m²
915,Graines de tournesol bio,eau,484.6,Millilitre,weekly,fall,672 m²
916,Tuyaux d'irrigation en PVC,eau,525.81,Tonnes,daily,summer,937 m²
917,Gazole pour engins de chantier,carburant,962.61,Tonnes,monthly,summer,544 m²
918,Équipement de désherbage manuel,eau,885.27,Gramme,daily,summer,711 m²
919,Eau purifiée pour irrigation goutte-à-goutte,carburant,300.24,Hectare,monthly,summer,111 m²
920,Système de compostage domestique,carburant,154.36,Hectare,weekly,spring,605 m²
921,Insecticide à base de pyréthrines,semences,104.08,Tonnes,,fall,358 m²
922,Gravier pour drainage,semences,750.41,Millilitre,monthly,winter,343 m²
923,Énergie solaire pour pompes,semences,70.07,Litre,,spring,145 m²
924,Matériel de jardinage à main,carburant,350.12,Mètre cube,,winter,574 m²
925,Pesticide à base de azadirachtine,engrais,322.66,Acre,monthly,summer,938 m²
926,Sable pour drainage,semences,898.91,Gramme,monthly,summer,871 m²
927,Solution nutritive hydroponique,eau,547.73,Gramme,,spring,472 m²
928,Insecticide à base de imidaclopride,engrais,854.8,Gramme,monthly,spring,145 m²
929,Engrais NPK 10-20-20,eau,733.84,Millilitre,weekly,winter,895 m²
930,Semences de quinoa,semences,768.75,Acre,monthly,spring,582 m²
931,Semences de concombre,engrais,704.23,Millilitre,daily,winter,290 m²
932,Essence pour tondeuse à gazon,engrais,762.57,Litre,weekly,spring,500 m²
933,Semences de framboise,carburant,340.94,Mètre cube,,summer,184 m²
934,Graines de pastèque,carburant,113.88,Mètre cube,,spring,792 m²
935,Graines de menthe,semences,812.7,Hectare,daily,spring,412 m²
936,Bassin de stockage d'eau,semences,655.43,Kilogramme,monthly,fall,358 m²
937,Graines de kiwi,semences,582.83,Kilogramme,daily,winter,672 m²
938,Engrais pour arbres fruitiers,engrais,195.86,Litre,monthly,fall,423 m²
939,Graines de fruits exotiques,carburant,440.98,Hectare,monthly,spring,100 m²
940,Biopesticide à base de neem,carburant,199,Tonnes,,winter,737 m²
941,Semences de quinoa,carburant,885.47,Tonnes,weekly,spring,792 m²
942,Semences de carvi,engrais,275.54,Kilogramme,monthly,fall,247 m²
943,Système de serre modulable,semences,833.73,Acre,monthly,winter,500 m²
944,Graines de pastèque,eau,274.16,Kilogramme,,summer,607 m²
945,Fongicide à base de fludioxonil,semences,961.2,Millilitre,daily,fall,778 m²
946,Phosphate de calcium granulaire,engrais,326.21,Litre,weekly,spring,859 m²
947,Fil de fer pour clôtures,semences,339.61,Litre,,summer,319 m²
948,Semences de soja,carburant,540.27,Kilogramme,weekly,fall,678 m²
949,Équipement de désherbage manuel,eau,432.69,Acre,daily,summer,538 m²
950,Semences de framboise,semences,333.05,Hectare,,summer,472 m²
951,Compost à base de déchets verts,engrais,194.71,Gramme,,summer,509 m²
952,Engrais pour arbres fruitiers,carburant,303.5,Millilitre,,spring,388 m²
953,Charbon pour chaudière,semences,439.25,Kilogramme,daily,fall,476 m²
954,Souffleur à feuilles à batterie,carburant,914.4,Acre,weekly,spring,328 m²
955,Graines de tournesol bio,semences,338.69,Kilogramme,daily,fall,578 m²
956,Électricité solaire pour pompe,eau,588.51,Tonnes,daily,spring,145 m²
957,Réservoir d'eau potable,carburant,889.28,Hectare,monthly,fall,319 m²
958,Herbicide à base de metolachlore,semences,66.88,Hectare,daily,spring,716 m²
959,Herbicide à base d'acide acétique,semences,938.25,Gramme,daily,fall,410 m²
960,Pesticide à base de formaldéhyde,carburant,732.94,Acre,monthly,fall,801 m²
961,Substrat pour culture hydroponique,engrais,544.31,Kilogramme,monthly,spring,649 m²
962,Semences de framboise,carburant,750.69,Millilitre,daily,winter,619 m²
963,Système d’irrigation par aspersion,carburant,178.89,Litre,daily,spring,698 m²
964,Bois de chauffage,semences,57.88,Gramme,daily,fall,130 m²
965,Engrais à libération lente,engrais,210.13,Acre,weekly,winter,500 m²
966,Sable pour drainage,eau,226.51,Mètre cube,,winter,841 m²
967,Engrais à base de fumier de cheval,eau,528.67,Millilitre,monthly,spring,886 m²
968,Semences de courgette,engrais,91.49,Tonnes,daily,spring,318 m²
969,Essence pour tondeuse à gazon,engrais,678.57,Millilitre,,summer,395 m²
970,Engrais minéral à base de soufre,eau,897.15,Mètre cube,daily,summer,358 m²
971,Engrais foliaire liquide,carburant,721.11,Litre,,spring,556 m²
972,Compost à base de déchets verts,engrais,625.85,Tonnes,,winter,502 m²
973,Semences de gingembre,engrais,3.08,Mètre cube,monthly,winter,544 m²
974,Engrais à base de sulfate de potassium,eau,425.25,Kilogramme,monthly,spring,895 m²
975,Engrais liquide à base de poisson,semences,770.13,Litre,monthly,summer,390 m²
976,Culture d’algues pour compost,engrais,243.15,Kilogramme,,fall,904 m²
977,Tuyaux d'irrigation en PVC,carburant,588.52,Millilitre,daily,summer,328 m²
978,Semences de riz basmati,engrais,501.19,Hectare,daily,fall,423 m²
979,Paille de blé pour paillage,eau,656.02,Acre,monthly,summer,870 m²
980,Treuil pour jardinage,eau,391.32,Kilogramme,,winter,385 m²
981,Engrais universel pour toutes cultures,carburant,745.94,Hectare,monthly,winter,698 m²
982,Pesticide à base de thiaclopride,carburant,851.66,Hectare,monthly,summer,158 m²
983,Système d'irrigation goutte à goutte,carburant,850.54,Gramme,monthly,spring,219 m²
984,Semences d'amande,semences,51.96,Hectare,monthly,fall,477 m²
985,Insecticide systémique pour rosier,engrais,613.47,Hectare,weekly,summer,451 m²
986,Insecticide biologique à base de pyréthre,eau,206.45,Millilitre,monthly,spring,781 m²
987,Engrais à libération lente,eau,814.46,Hectare,daily,summer,934 m²
988,Phosphate de calcium granulaire,engrais,921.48,Tonnes,monthly,fall,970 m²
989,Biocarburant à base de déchets,engrais,34.78,Hectare,weekly,summer,184 m²
990,Système de compostage domestique,carburant,514.77,Millilitre,weekly,spring,904 m²
991,Débroussailleuse à essence,eau,726.18,Litre,monthly,summer,755 m²
992,Ensileuse pour récoltes fourragères,carburant,535.58,Acre,weekly,fall,
993,Gaz de ville pour équipements,engrais,571.24,Kilogramme,monthly,winter,127 m²
994,Désherbant systémique non toxique,carburant,555.87,Gramme,daily,fall,504 m²
995,Engrais enrichi en fer,carburant,801.77,Gramme,monthly,fall,361 m²
996,Engrais NPK 10-20-20,engrais,748.01,Mètre cube,,fall,508 m²
997,Engrais à base de cendre de bois,carburant,560.62,Gramme,weekly,summer,922 m²
998,Semences de maïs hybride,carburant,870.8,Acre,monthly,spring,623 m²
999,Souffleur à feuilles à batterie,semences,842.46,Kilogramme,weekly,winter,839 m²
1000,Semences de radis,carburant,717.83,Tonnes,weekly,winter,694 m²
1001,Semences de carvi,engrais,269.07,Gramme,monthly,fall,422 m²
1002,Engrais minéral à base de soufre,eau,412.6,Kilogramme,daily,spring,487 m²
1003,Engrais à base de fumier de cheval,engrais,439.62,Mètre cube,monthly,winter,578 m²
1004,Graines de céleri,engrais,803.63,Gramme,,winter,477 m²
1005,Carburant à base de biomasse,carburant,233.06,Gramme,weekly,spring,563 m²
1006,Pesticide à base de azadirachtine,engrais,279.08,Litre,monthly,fall,477 m²
1007,Pesticide à base de formaldéhyde,carburant,941.33,Mètre cube,weekly,spring,778 m²
1008,Engrais bio pour plantes d'intérieur,semences,688.92,Kilogramme,,spring,792 m²
1009,Engrais organique à base de compost,semences,457.79,Kilogramme,daily,summer,643 m²
1010,Système de compostage domestique,eau,766.47,Mètre cube,,summer,142 m²
1011,Pesticide à base d'extraits de plantes,carburant,38.28,Gramme,weekly,summer,556 m²
1012,Herbicide sélectif pour maïs,carburant,136.37,Millilitre,weekly,winter,150 m²
1013,Carburant biodiesel,eau,453.57,Gramme,daily,summer,579 m²
1014,Graines de pois chiche,engrais,451.27,Millilitre,weekly,fall,489 m²
1015,Semences de coriandre,eau,656.84,Tonnes,weekly,fall,175 m²
1016,Biogaz pour chauffage,carburant,266.9,Mètre cube,,spring,502 m²
1017,Carburant biodiesel,engrais,890.56,Gramme,monthly,summer,905 m²
1018,Engrais à base de vinaigre,engrais,49.09,Hectare,weekly,summer,472 m²
1019,Graines de colza,semences,506.23,Mètre cube,monthly,spring,374 m²
1020,Tracteur électrique,semences,704.58,Litre,weekly,winter,508 m²
1021,Charrue à verser,semences,327.33,Mètre cube,daily,summer,737 m²
1022,Outils de jardinage manuels,semences,58.35,Acre,weekly,winter,711 m²
1023,Sable pour drainage,semences,128.97,Millilitre,,spring,290 m²
1024,Semences de sésame,semences,815.2,Kilogramme,,spring,319 m²
1025,Insecticide à base de pyréthrines,carburant,709.72,Acre,weekly,summer,355 m²
1026,Semences de soja,engrais,615.74,Kilogramme,daily,summer,643 m²
1027,Engrais granulé à libération contrôlée,engrais,560.33,Litre,,summer,604 m²
1028,Gaz naturel pour tracteurs,eau,677.86,Mètre cube,weekly,fall,455 m²
1029,Pesticide à base de fongus entomopathogène,eau,879.99,Millilitre,daily,winter,347 m²
1030,Engrais pour plantes d'intérieur,engrais,800.32,Mètre cube,daily,summer,590 m²
1031,Herbicide à base de pelargonium,eau,807.11,Hectare,monthly,winter,922 m²
1032,Insecticide à base de chlorpyrifos,carburant,1.26,Hectare,,fall,732 m²
1033,Bois de chauffage,semences,268.55,Acre,monthly,summer,612 m²
1034,Engrais pour arbres fruitiers,carburant,236.46,Acre,daily,winter,740 m²
1035,Engrais à base de cendre de bois,engrais,692.09,Litre,,summer,422 m²
1036,Herbicide à base de flumioxazine,engrais,493.18,Tonnes,daily,winter,895 m²
1037,Pétrole pour tracteurs,eau,166.7,Gramme,monthly,fall,633 m²
1038,Graines de pois chiche,carburant,50.02,Millilitre,daily,fall,522 m²
1039,Semences de radis,eau,495.48,Acre,daily,winter,934 m²
1040,Gaz propane pour chauffages,eau,255.24,Gramme,,winter,1000 m²
1041,Graines de céleri,semences,85.71,Gramme,monthly,spring,693 m²
1042,Phosphate de calcium granulaire,engrais,381.34,Kilogramme,weekly,spring,501 m²
1043,Semences de concombre,carburant,291.32,Gramme,weekly,spring,721 m²
1044,Engrais pour arbres fruitiers,eau,525.55,Tonnes,,summer,423 m²
1045,Système d’irrigation en goutte à goutte,eau,431.99,Acre,daily,summer,751 m²
1046,Pesticide à base de fongus entomopathogène,engrais,406.19,Gramme,monthly,fall,451 m²
1047,Pesticide à base de thiaméthoxame,semences,855.78,Acre,daily,summer,328 m²
1048,Eau de source pour agriculture,engrais,413.91,Millilitre,monthly,winter,619 m²
1049,Écorces pour paillis,eau,977.05,Gramme,weekly,fall,500 m²
1050,Fertilisant biologique à base d’algues,carburant,667.88,Litre,daily,winter,286 m²
1051,Semences d’aubergine,eau,899.43,Hectare,weekly,summer,578 m²
1052,Désherbant systémique non toxique,eau,231.48,Tonnes,daily,spring,737 m²
1053,Semences de haricot vert,engrais,782.2,Mètre cube,daily,fall,451 m²
1054,Graines de céleri,carburant,799.67,Litre,monthly,winter,758 m²
1055,Engrais minéral à base de soufre,semences,682.05,Acre,monthly,fall,487 m²
1056,Fongicide à base de captane,semences,27.99,Mètre cube,weekly,spring,222 m²
1057,Gaz naturel pour tracteurs,engrais,224.61,Acre,,summer,556 m²
1058,Équipement de protection individuelle,semences,405.59,Mètre cube,daily,spring,210 m²
1059,Équipement de désherbage manuel,engrais,780.76,Tonnes,daily,fall,758 m²
1060,Insecticide à base de lambda-cyhalothrine,eau,854.44,Kilogramme,,summer,990 m²
1061,Semences de sésame,carburant,649.19,Millilitre,weekly,fall,538 m²
1062,Charrue à deux socs,semences,699.95,Kilogramme,daily,summer,897 m²
1063,Semoir automatique de précision,semences,982.7,Kilogramme,,fall,472 m²
1064,Engrais enrichi en oligo-éléments,engrais,695.2,Millilitre,,winter,926 m²
1065,Fongicide à base de propiconazole,carburant,206.04,Gramme,daily,summer,914 m²
1066,Système de compostage domestique,eau,850.33,Litre,daily,summer,519 m²
1067,Fongicide à base de fludioxonil,eau,51.41,Millilitre,daily,spring,755 m²
1068,Fongicide à base de tébuconazole,carburant,22.34,Tonnes,weekly,summer,146 m²
1069,Pesticide à base d'huile de citronnelle,eau,86.57,Litre,weekly,summer,234 m²
1070,Engrais potassique soluble,semences,245.22,Mètre cube,,winter,275 m²
1071,Engrais riche en calcium,carburant,120.79,Kilogramme,monthly,summer,546 m²
1072,Culture d’algues pour compost,carburant,853.2,Acre,,spring,778 m²
1073,Fongicide à base de fludioxonil,eau,785.79,Kilogramme,,winter,623 m²
1074,Essence pour tondeuse à gazon,engrais,898.62,Acre,monthly,winter,904 m²
1075,Semences d'amande,engrais,788.41,Hectare,monthly,summer,614 m²
1076,Ensileuse pour récoltes fourragères,carburant,846.95,Litre,,spring,273 m²
1077,Pesticide à base de bicarbonate de soude,carburant,665.87,Gramme,daily,fall,275 m²
1078,Graines de kiwi,engrais,319.34,Tonnes,weekly,summer,244 m²
1079,Réservoir d'eau potable,eau,279.9,Acre,daily,winter,699 m²
1080,Insecticide systémique pour rosier,semences,493.83,Gramme,monthly,fall,980 m²
1081,Semences de framboise,carburant,542.99,Litre,weekly,summer,194 m²
1082,Fongicide à base de tébuconazole,carburant,988.47,Acre,,fall,234 m²
1083,Engrais enrichi en fer,semences,369.94,Tonnes,monthly,winter,476 m²
1084,Engrais à base de lactosérum,semences,782.61,Tonnes,,spring,160 m²
1085,Engrais liquide pour légumes,engrais,525,Hectare,daily,spring,546 m²
1086,Graines de menthe,carburant,381.1,Hectare,weekly,summer,313 m²
1087,Gaz de ville pour équipements,engrais,979.73,Gramme,weekly,spring,671 m²
1088,Semences de melon,engrais,517.88,Gramme,weekly,spring,577 m²
1089,Système de filtration pour irrigation,eau,784.56,Mètre cube,,spring,219 m²
1090,Gazole pour engins de chantier,engrais,720.56,Kilogramme,weekly,summer,501 m²
1091,Engrais organique à base de compost,engrais,473.66,Mètre cube,weekly,winter,156 m²
1092,Engrais en granulés,carburant,947.18,Mètre cube,daily,summer,290 m²
1093,Engrais organique à base de trèfle,semences,546.35,Mètre cube,monthly,summer,504 m²
1094,Engrais minéral complexe,semences,449.89,Millilitre,monthly,summer,970 m²
1095,Semences de groseille,eau,541.44,Litre,,spring,821 m²
1096,Carburant biodiesel,semences,73.72,Hectare,daily,fall,509 m²
1097,Semences d’aubergine,engrais,773.45,Tonnes,monthly,winter,556 m²
1098,Système de récolte à la main,engrais,101.11,Kilogramme,daily,summer,422 m²
1099,Réservoir d’eau de pluie 1000L,carburant,975.5,Litre,monthly,spring,693 m²