culture,technique
Vigne à raisin,Éclaircissage
Vigne à raisin,Application de compost
Coton,Application de biopesticides
Coton,Fertilisation foliaire
Pois,Semis direct
Pois,Irrigation goutte à goutte
Kumquat,Enrichissement en mycorhizes
Kumquat,Application de biopesticides
Kumquat,Paillage
Litchi,Culture en serre
Litchi,Désherbage manuel
Litchi,Application de biopesticides
Aubergine,Fertilisation au compost
Aubergine,Éclaircissage
Laitue,Traitement des semences
Laitue,Application de compost
Chou-fleur,Inoculation bactérienne
Chou-fleur,Mulchage
Chou-fleur,Irrigation goutte à goutte
Canistel,Paillage
Canistel,Traitement des semences
Noyer,Paillage
Noyer,Éclaircissage des plants
Manioc,Mulchage
Manioc,Utilisation de variétés résistantes
Manioc,Fertilisation foliaire
Mizuna,Désherbage manuel
Mizuna,Mulchage
Betterave sucrière,Enrichissement en mycorhizes
Betterave sucrière,Fertilisation foliaire
Anis étoilé,Éclaircissage
Anis étoilé,Rotation des cultures
Jujubier,Utilisation de cultures couvre-sol
Jujubier,Fertilisation foliaire
Tamarin,Traitement des semences
Tamarin,Désherbage manuel
Tamarin,Désherbage manuel
Banane plantain,Application de compost
Banane plantain,Inoculation bactérienne
Banane plantain,Contrôle biologique des nuisibles
Lavande,Rotation des cultures
Lavande,Désherbage manuel
Théier,Utilisation de variétés résistantes
Théier,Désherbage manuel
Théier,Fertilisation foliaire
Champignon shiitake,Éclaircissage
Champignon shiitake,Application de compost
Chou frisé,Fertilisation foliaire
Chou frisé,Désherbage manuel
Cannelle,Traitement des semences
Cannelle,Éclaircissage des plants
Cannelle,Éclaircissage des plants
Sorgho grain,Culture en serre
Sorgho grain,Utilisation de cultures couvre-sol
Sorgho grain,Rotation des cultures
Colza oléagineux,Fertilisation foliaire
Colza oléagineux,Désherbage manuel
Colza oléagineux,Contrôle biologique des nuisibles
Laitue,Utilisation de variétés résistantes
Laitue,Traitement des semences
Laitue,Enrichissement en mycorhizes
Pois chiche,Application de compost
Pois chiche,Utilisation de cultures couvre-sol
Pois chiche,Désherbage manuel
Avoine de printemps,Irrigation goutte à goutte
Avoine de printemps,Application de biopesticides
Tournesol,Culture en serre
Tournesol,Utilisation de variétés résistantes
Noyer,Désherbage manuel
Noyer,Désherbage manuel
Pommes de terre,Contrôle biologique des nuisibles
Pommes de terre,Désherbage manuel
Pommes de terre,Éclaircissage
Canneberge,Contrôle biologique des nuisibles
Canneberge,Paillage
Manioc,Irrigation goutte à goutte
Manioc,Semis direct
Manioc,Éclaircissage
Ananas,Mulchage
Ananas,Application de compost
Ananas,Éclaircissage des plants
Arachide,Rotation des cultures
Arachide,Inoculation bactérienne
Arachide,Culture en serre
Sarrasin,Culture en serre
Sarrasin,Culture en serre
Sarrasin,Désherbage manuel
Chou cavalier,Désherbage manuel
Chou cavalier,Technique D'engrais vert
Chou cavalier,Culture en serre
Prunier,Éclaircissage des plants
Prunier,Fertilisation au compost
Manguier,Rotation des cultures
Manguier,Irrigation goutte à goutte
Pommes de terre,Désherbage manuel
Pommes de terre,Désherbage manuel
Papyrus,Rotation des cultures
Papyrus,Inoculation bactérienne
Lavande,Irrigation goutte à goutte
Lavande,Semis direct
Soja,Culture en serre
Soja,Semis direct
Céleri,Irrigation goutte à goutte
Céleri,Semis direct
Céleri,Semis direct
Kiwi,Fertilisation au compost
Kiwi,Désherbage manuel
Acacia,Culture en serre
Acacia,Mulchage
Tamarin,Application de compost
Tamarin,Fertilisation au compost
Laitue,Inoculation bactérienne
Laitue,Fertilisation au compost
Palmier dattier,Fertilisation foliaire
Palmier dattier,Mulchage
Palmier dattier,Application de biopesticides
Sorgho fourrager,Enrichissement en mycorhizes
Sorgho fourrager,Paillage
Sorgho fourrager,Utilisation de variétés résistantes
Cannelle,Fertilisation foliaire
Cannelle,Rotation des cultures
Cannelle,Désherbage manuel
Thym,Éclaircissage
Thym,Éclaircissage des plants
Thym,Paillage
Quinoa,Désherbage manuel
Quinoa,Mulchage
Quinoa,Inoculation bactérienne
Gingembre,Application de biopesticides
Gingembre,Fertilisation au compost
Lentilles,Mulchage
Lentilles,Application de biopesticides
Lentilles,Mulchage
Betterave sucrière,Traitement des semences
Betterave sucrière,Enrichissement en mycorhizes
Betterave sucrière,Fertilisation au compost
Piment vert,Culture en serre
Piment vert,Irrigation goutte à goutte
Piment vert,Rotation des cultures
Champignon pleurote,Utilisation de cultures couvre-sol
Champignon pleurote,Semis direct
Champignon pleurote,Désherbage manuel
Canneberge,Utilisation de cultures couvre-sol
Canneberge,Traitement des semences
Myrtille,Contrôle biologique des nuisibles
Myrtille,Contrôle biologique des nuisibles
Myrtille,Irrigation goutte à goutte
Banane plantain,Irrigation goutte à goutte
Banane plantain,Utilisation de variétés résistantes
Radis,Désherbage manuel
Radis,Désherbage manuel
Radis,Semis direct
Manguier,Désherbage manuel
Manguier,Désherbage manuel
Manguier,Mulchage
Papyrus,Désherbage manuel
Papyrus,Fertilisation au compost
Papyrus,Éclaircissage
Palmier dattier,Irrigation goutte à goutte
Palmier dattier,Éclaircissage
Palmier dattier,Application de compost
Kumquat,Technique D'engrais vert
Kumquat,Fertilisation foliaire
Soja,Éclaircissage
Soja,Mulchage
Noyer,Paillage
Noyer,Utilisation de variétés résistantes
Noyer,Fertilisation au compost
Pois chiche,Utilisation de variétés résistantes
Pois chiche,Fertilisation foliaire
Pois chiche,Rotation des cultures
Canistel,Contrôle biologique des nuisibles
Canistel,Culture en serre
Haricot mungo,Traitement des semences
Haricot mungo,Contrôle biologique des nuisibles
Haricot mungo,Fertilisation foliaire
Pommes de terre,Paillage
Pommes de terre,Désherbage manuel
Pommes de terre,Paillage
Pak choï,Éclaircissage
Pak choï,Utilisation de cultures couvre-sol
Camomille,Éclaircissage
Camomille,Utilisation de cultures couvre-sol
Coco,Paillage
Coco,Culture en serre
Avoine de printemps,Paillage
Avoine de printemps,Fertilisation foliaire
Avoine de printemps,Désherbage manuel
Colza,Paillage
Colza,Irrigation goutte à goutte
Colza,Paillage
Avoine nue,Application de compost
Avoine nue,Fertilisation foliaire
Canneberge,Culture en serre
Canneberge,Rotation des cultures
Canneberge,Éclaircissage
Grenadier,Traitement des semences
Grenadier,Enrichissement en mycorhizes
Aubergine,Désherbage manuel
Aubergine,Irrigation goutte à goutte
Aubergine,Traitement des semences
Luzerne,Application de biopesticides
Luzerne,Culture en serre
Luzerne,Utilisation de cultures couvre-sol
Châtaignier,Éclaircissage
Châtaignier,Application de biopesticides
Châtaignier,Fertilisation au compost
Betterave sucrière,Utilisation de cultures couvre-sol
Betterave sucrière,Application de compost
Noix de cajou,Technique D'engrais vert
Noix de cajou,Semis direct
Noix de cajou,Fertilisation foliaire
Sarrasin,Éclaircissage des plants
Sarrasin,Éclaircissage
Sarrasin,Application de biopesticides
Lavande,Désherbage manuel
Lavande,Semis direct
Sesame,Éclaircissage des plants
Sesame,Éclaircissage des plants
Sesame,Rotation des cultures
Framboise,Culture en serre
Framboise,Désherbage manuel
Framboise,Application de compost
Chou-fleur,Application de biopesticides
Chou-fleur,Utilisation de cultures couvre-sol
Chou-fleur,Application de compost
Blé tendre,Mulchage
Blé tendre,Enrichissement en mycorhizes
Théier,Traitement des semences
Théier,Désherbage manuel
Théier,Application de biopesticides
Seigle,Fertilisation foliaire
Seigle,Fertilisation foliaire
Seigle,Application de compost
Haricot mungo,Désherbage manuel
Haricot mungo,Fertilisation foliaire
Safran,Application de compost
Safran,Technique D'engrais vert
Baobab,Technique D'engrais vert
Baobab,Fertilisation foliaire
Chou rouge,Mulchage
Chou rouge,Technique D'engrais vert
Chou rouge,Contrôle biologique des nuisibles
Colza,Éclaircissage
Colza,Fertilisation au compost
Pêcher,Paillage
Pêcher,Utilisation de variétés résistantes
Pêcher,Inoculation bactérienne
Brocoli,Fertilisation foliaire
Brocoli,Désherbage manuel
Pois,Semis direct
Pois,Désherbage manuel
Kumquat,Rotation des cultures
Kumquat,Mulchage
Kumquat,Éclaircissage
Poirier,Paillage
Poirier,Technique D'engrais vert
Tournesol,Paillage
Tournesol,Fertilisation au compost
Tournesol,Éclaircissage des plants
Amandier,Utilisation de cultures couvre-sol
Amandier,Semis direct
Amandier,Rotation des cultures
Artichaut,Culture en serre
Artichaut,Utilisation de variétés résistantes
Artichaut,Fertilisation au compost
Tournesol,Utilisation de variétés résistantes
Tournesol,Fertilisation foliaire
Nectarine,Rotation des cultures
Nectarine,Fertilisation foliaire
Sorgho grain,Contrôle biologique des nuisibles
Sorgho grain,Technique D'engrais vert
Sorgho grain,Technique D'engrais vert
Fraise,Irrigation goutte à goutte
Fraise,Désherbage manuel
Ail,Paillage
Ail,Éclaircissage
Ail,Utilisation de cultures couvre-sol
Carottes,Éclaircissage
Carottes,Éclaircissage des plants
Carottes,Traitement des semences
Millet,Fertilisation foliaire
Millet,Utilisation de variétés résistantes
Millet,Technique D'engrais vert
Noisetier,Utilisation de cultures couvre-sol
Noisetier,Culture en serre
Noisetier,Désherbage manuel
Fèves,Culture en serre
Fèves,Éclaircissage
Lentilles,Contrôle biologique des nuisibles
Lentilles,Rotation des cultures
Lentilles,Application de compost
Papaye,Désherbage manuel
Papaye,Rotation des cultures
Papaye,Utilisation de cultures couvre-sol
Pommes de terre,Contrôle biologique des nuisibles
Pommes de terre,Rotation des cultures
Curcuma,Utilisation de cultures couvre-sol
Curcuma,Technique D'engrais vert
Curcuma,Désherbage manuel
Champignon shiitake,Désherbage manuel
Champignon shiitake,Enrichissement en mycorhizes
Framboise,Irrigation goutte à goutte
Framboise,Application de biopesticides
Chou frisé,Mulchage
Chou frisé,Irrigation goutte à goutte
Canne à sucre,Désherbage manuel
Canne à sucre,Utilisation de variétés résistantes
Ananas,Inoculation bactérienne
Ananas,Inoculation bactérienne
Ananas,Éclaircissage
Tamarin,Désherbage manuel
Tamarin,Éclaircissage des plants
Tamarin,Fertilisation foliaire
Acacia,Désherbage manuel
Acacia,Traitement des semences
Acacia,Fertilisation foliaire
Litchi,Désherbage manuel
Litchi,Fertilisation foliaire
Litchi,Irrigation goutte à goutte
Anis étoilé,Enrichissement en mycorhizes
Anis étoilé,Rotation des cultures
Pommes de terre,Désherbage manuel
Pommes de terre,Désherbage manuel
Pommes de terre,Désherbage manuel
Jujubier,Contrôle biologique des nuisibles
Jujubier,Application de biopesticides
Jujubier,Mulchage
Avoine nue,Mulchage
Avoine nue,Éclaircissage
Avoine nue,Application de biopesticides
Poirier,Application de biopesticides
Poirier,Rotation des cultures
Poirier,Utilisation de variétés résistantes
Céleri,Technique D'engrais vert
Céleri,Paillage
Céleri,Culture en serre
Concombre,Utilisation de cultures couvre-sol
Concombre,Inoculation bactérienne
Concombre,Traitement des semences
Bambou,Désherbage manuel
Bambou,Application de compost
Bambou,Désherbage manuel
Myrtille,Application de compost
Myrtille,Désherbage manuel
Myrtille,Paillage
Vesce,Éclaircissage
Vesce,Inoculation bactérienne
Vesce,Fertilisation au compost
Myrtille,Éclaircissage
Myrtille,Inoculation bactérienne
Carottes,Traitement des semences
Carottes,Désherbage manuel
Carottes,Rotation des cultures
Tomates,Désherbage manuel
Tomates,Paillage
Tomates,Traitement des semences
Pak choï,Technique D'engrais vert
Pak choï,Désherbage manuel
Pak choï,Paillage
Kiwi,Inoculation bactérienne
Kiwi,Paillage
Tomates,Paillage
Tomates,Inoculation bactérienne
Haricot mungo,Fertilisation foliaire
Haricot mungo,Application de biopesticides
Haricot mungo,Utilisation de cultures couvre-sol
Chou rouge,Application de compost
Chou rouge,Technique D'engrais vert
Millet,Fertilisation foliaire
Millet,Traitement des semences
Millet,Contrôle biologique des nuisibles
Bette à carde,Fertilisation foliaire
Bette à carde,Application de compost
Bette à carde,Inoculation bactérienne
Abricotier,Fertilisation au compost
Abricotier,Semis direct
Abricotier,Irrigation goutte à goutte
Tamarin,Irrigation goutte à goutte
Tamarin,Rotation des cultures
Tamarin,Semis direct
Pêcher,Éclaircissage des plants
Pêcher,Éclaircissage
Carottes,Utilisation de cultures couvre-sol
Carottes,Utilisation de variétés résistantes
Carottes,Utilisation de cultures couvre-sol
Chou frisé,Désherbage manuel
Chou frisé,Rotation des cultures
Laitue,Rotation des cultures
Laitue,Irrigation goutte à goutte
Camomille,Technique D'engrais vert
Camomille,Contrôle biologique des nuisibles
Camomille,Fertilisation foliaire
Tomates,Culture en serre
Tomates,Utilisation de variétés résistantes
Tomates,Application de biopesticides
Mûre,Paillage
Mûre,Mulchage
Jujubier,Inoculation bactérienne
Jujubier,Culture en serre
Jujubier,Inoculation bactérienne
Banane plantain,Inoculation bactérienne
Banane plantain,Éclaircissage
Piment vert,Utilisation de cultures couvre-sol
Piment vert,Utilisation de cultures couvre-sol
Caféier,Enrichissement en mycorhizes
Caféier,Application de compost
Caféier,Mulchage
Caféier,Irrigation goutte à goutte
Caféier,Culture en serre
Caféier,Rotation des cultures
Poivron rouge,Fertilisation foliaire
Poivron rouge,Culture en serre
Poivron rouge,Traitement des semences
Cannelle,Utilisation de variétés résistantes
Cannelle,Contrôle biologique des nuisibles
Cannelle,Traitement des semences
Fèves,Fertilisation foliaire
Fèves,Utilisation de variétés résistantes
Haricot mungo,Application de compost
Haricot mungo,Contrôle biologique des nuisibles
Haricot mungo,Utilisation de variétés résistantes
Ail,Technique D'engrais vert
Ail,Utilisation de variétés résistantes
Ail,Technique D'engrais vert
Tomates,Culture en serre
Tomates,Contrôle biologique des nuisibles
Tomates,Utilisation de variétés résistantes
Kumquat,Contrôle biologique des nuisibles
Kumquat,Fertilisation au compost
Cannelle,Éclaircissage
Cannelle,Application de biopesticides
Piment vert,Désherbage manuel
Piment vert,Enrichissement en mycorhizes
Piment vert,Éclaircissage
Poivron rouge,Application de biopesticides
Poivron rouge,Fertilisation foliaire
Grenadier,Application de compost
Grenadier,Utilisation de variétés résistantes
Grenadier,Désherbage manuel
Tomates,Désherbage manuel
Tomates,Technique D'engrais vert
Prunier,Traitement des semences
Prunier,Application de biopesticides
Châtaignier,Utilisation de variétés résistantes
Châtaignier,Semis direct
Palmier dattier,Utilisation de variétés résistantes
Palmier dattier,Irrigation goutte à goutte
Aubergine,Paillage
Aubergine,Désherbage manuel
Lavande,Application de compost
Lavande,Désherbage manuel
Épinard,Paillage
Épinard,Paillage
Épinard,Désherbage manuel
Pistachier,Irrigation goutte à goutte
Pistachier,Utilisation de variétés résistantes
Champignon shiitake,Éclaircissage des plants
Champignon shiitake,Utilisation de cultures couvre-sol
Artichaut,Utilisation de variétés résistantes
Artichaut,Fertilisation au compost
Canneberge,Désherbage manuel
Canneberge,Utilisation de variétés résistantes
Soja,Paillage
Soja,Culture en serre
Soja,Utilisation de cultures couvre-sol
Carottes,Irrigation goutte à goutte
Carottes,Mulchage
Carottes,Utilisation de cultures couvre-sol
Carottes,Désherbage manuel
Sorgho grain,Contrôle biologique des nuisibles
Sorgho grain,Inoculation bactérienne
Sorgho grain,Culture en serre
Pêcher,Utilisation de variétés résistantes
Pêcher,Traitement des semences
Pêcher,Éclaircissage
Melon d'eau,Inoculation bactérienne
Melon d'eau,Application de compost
Melon d'eau,Paillage
Abricotier,Désherbage manuel
Abricotier,Application de biopesticides
Abricotier,Éclaircissage
Jujubier,Contrôle biologique des nuisibles
Jujubier,Inoculation bactérienne
Jujubier,Technique D'engrais vert
Muscade,Utilisation de variétés résistantes
Muscade,Rotation des cultures
Carottes,Enrichissement en mycorhizes
Carottes,Inoculation bactérienne
Carottes,Mulchage
Colza oléagineux,Contrôle biologique des nuisibles
Colza oléagineux,Rotation des cultures
Colza oléagineux,Éclaircissage
Piment vert,Culture en serre
Piment vert,Éclaircissage des plants
Chou cavalier,Mulchage
Chou cavalier,Enrichissement en mycorhizes
Chou cavalier,Utilisation de variétés résistantes
Soja,Désherbage manuel
Soja,Éclaircissage
Soja,Culture en serre
Amandier,Rotation des cultures
Amandier,Application de compost
Pommier,Éclaircissage
Pommier,Désherbage manuel
Manioc,Paillage
Manioc,Fertilisation au compost
Manioc,Utilisation de cultures couvre-sol
Avoine de printemps,Inoculation bactérienne
Avoine de printemps,Fertilisation au compost
Avoine de printemps,Application de biopesticides
Noyer,Rotation des cultures
Noyer,Application de biopesticides
Noyer,Inoculation bactérienne
Manioc,Éclaircissage des plants
Manioc,Contrôle biologique des nuisibles
Manioc,Technique D'engrais vert
Quinoa,Désherbage manuel
Quinoa,Enrichissement en mycorhizes
Quinoa,Irrigation goutte à goutte
Millet,Irrigation goutte à goutte
Millet,Éclaircissage des plants
Millet,Désherbage manuel
Laitue,Utilisation de cultures couvre-sol
Laitue,Rotation des cultures
Blé tendre,Mulchage
Blé tendre,Application de biopesticides
Blé tendre,Enrichissement en mycorhizes
Pois chiche,Semis direct
Pois chiche,Enrichissement en mycorhizes
Amandier,Paillage
Amandier,Application de compost
Canistel,Utilisation de variétés résistantes
Canistel,Fertilisation au compost
Canistel,Inoculation bactérienne
Concombre,Utilisation de cultures couvre-sol
Concombre,Fertilisation au compost
Coco,Rotation des cultures
Coco,Technique D'engrais vert
Coco,Éclaircissage
Lentilles,Application de compost
Lentilles,Irrigation goutte à goutte
Manguier,Contrôle biologique des nuisibles
Manguier,Irrigation goutte à goutte
Manguier,Inoculation bactérienne
Baobab,Inoculation bactérienne
Baobab,Semis direct
Fraise,Fertilisation au compost
Fraise,Mulchage
Fraise,Traitement des semences
Fraise,Fertilisation foliaire
Fraise,Fertilisation foliaire
Fraise,Fertilisation foliaire
Poireaux,Désherbage manuel
Poireaux,Semis direct
Poireaux,Application de compost
Safran,Traitement des semences
Safran,Inoculation bactérienne
Baobab,Rotation des cultures
Baobab,Mulchage
Chou-fleur,Semis direct
Chou-fleur,Culture en serre
Chou-fleur,Rotation des cultures
Ananas,Mulchage
Ananas,Fertilisation au compost
Bambou,Utilisation de cultures couvre-sol
Bambou,Éclaircissage
Bambou,Paillage
Sarrasin,Semis direct
Sarrasin,Désherbage manuel
Lentilles,Mulchage
Lentilles,Rotation des cultures
Lentilles,Technique D'engrais vert
Aubergine,Désherbage manuel
Aubergine,Enrichissement en mycorhizes
Baobab,Technique D'engrais vert
Baobab,Paillage
Baobab,Désherbage manuel
Olives,Application de biopesticides
Olives,Application de compost
Olives,Utilisation de cultures couvre-sol
Canne à sucre,Paillage
Canne à sucre,Rotation des cultures
Muscade,Éclaircissage des plants
Muscade,Irrigation goutte à goutte
Muscade,Contrôle biologique des nuisibles
Trèfle,Fertilisation au compost
Trèfle,Fertilisation au compost
Banane plantain,Mulchage
Banane plantain,Application de biopesticides
Menthe,Éclaircissage des plants
Menthe,Fertilisation au compost
Palmier dattier,Mulchage
Palmier dattier,Éclaircissage
Palmier dattier,Contrôle biologique des nuisibles
Basilic,Enrichissement en mycorhizes
Basilic,Fertilisation foliaire
Basilic,Application de biopesticides
Seigle,Paillage
Seigle,Utilisation de variétés résistantes
Seigle,Inoculation bactérienne
Cerisier,Technique D'engrais vert
Cerisier,Semis direct
Nectarine,Application de compost
Nectarine,Irrigation goutte à goutte
Nectarine,Irrigation goutte à goutte
Menthe,Rotation des cultures
Menthe,Utilisation de variétés résistantes
Kumquat,Enrichissement en mycorhizes
Kumquat,Application de compost
Kumquat,Fertilisation foliaire
Arachide,Traitement des semences
Arachide,Contrôle biologique des nuisibles
Persil,Éclaircissage
Persil,Semis direct
Blé tendre,Utilisation de cultures couvre-sol
Blé tendre,Application de biopesticides
Basilic,Enrichissement en mycorhizes
Basilic,Paillage
Manguier,Application de biopesticides
Manguier,Paillage
Manguier,Utilisation de variétés résistantes
Bette à carde,Paillage
Bette à carde,Rotation des cultures
Bette à carde,Inoculation bactérienne
Pois chiche,Utilisation de variétés résistantes
Pois chiche,Fertilisation au compost
Pois chiche,Éclaircissage des plants
Laitue,Rotation des cultures
Laitue,Éclaircissage
Blé tendre,Mulchage
Blé tendre,Éclaircissage
Blé dur,Culture en serre
Blé dur,Rotation des cultures
Blé dur,Paillage
Sesame,Rotation des cultures
Sesame,Désherbage manuel
Arachide,Mulchage
Arachide,Technique D'engrais vert
Arachide,Paillage
Épinard,Irrigation goutte à goutte
Épinard,Semis direct
Épinard,Utilisation de cultures couvre-sol
Fèves,Culture en serre
Fèves,Application de biopesticides
Cacao,Application de biopesticides
Cacao,Application de biopesticides
Coco,Contrôle biologique des nuisibles
Coco,Utilisation de cultures couvre-sol
Avoine de printemps,Irrigation goutte à goutte
Avoine de printemps,Utilisation de variétés résistantes
Avoine de printemps,Fertilisation au compost
Avoine nue,Éclaircissage des plants
Avoine nue,Rotation des cultures
Avoine nue,Utilisation de cultures couvre-sol
Trèfle,Utilisation de variétés résistantes
Trèfle,Désherbage manuel
Trèfle,Enrichissement en mycorhizes
Kumquat,Éclaircissage des plants
Kumquat,Rotation des cultures
Kumquat,Application de compost
Kumquat,Enrichissement en mycorhizes
Kumquat,Technique D'engrais vert
Kumquat,Traitement des semences
Haricot mungo,Désherbage manuel
Haricot mungo,Culture en serre
Cacao,Semis direct
Cacao,Fertilisation au compost
Cacao,Éclaircissage des plants
Luzerne,Éclaircissage des plants
Luzerne,Culture en serre
Pommier,Application de biopesticides
Pommier,Utilisation de variétés résistantes
Pommier,Culture en serre
Fèves,Fertilisation foliaire
Fèves,Paillage
Pommes de terre,Enrichissement en mycorhizes
Pommes de terre,Application de biopesticides
Pommes de terre,Mulchage
Litchi,Utilisation de variétés résistantes
Litchi,Application de biopesticides
Coton,Désherbage manuel
Coton,Rotation des cultures
Coton,Utilisation de variétés résistantes
Noix de cajou,Éclaircissage
Noix de cajou,Éclaircissage
Noix de cajou,Éclaircissage des plants
Kiwi,Utilisation de variétés résistantes
Kiwi,Enrichissement en mycorhizes
Noyer,Paillage
Noyer,Contrôle biologique des nuisibles
Noyer,Application de biopesticides
Poivron rouge,Semis direct
Poivron rouge,Mulchage
Chou-fleur,Enrichissement en mycorhizes
Chou-fleur,Application de biopesticides
Chou-fleur,Désherbage manuel
Baies de goji,Fertilisation foliaire
Baies de goji,Enrichissement en mycorhizes
Baies de goji,Paillage
Trèfle,Mulchage
Trèfle,Fertilisation foliaire
Trèfle,Désherbage manuel
Pois,Éclaircissage des plants
Pois,Application de biopesticides
Thym,Mulchage
Thym,Application de compost
Anis étoilé,Fertilisation au compost
Anis étoilé,Utilisation de cultures couvre-sol
Kumquat,Rotation des cultures
Kumquat,Éclaircissage des plants
Kumquat,Désherbage manuel
Manguier,Utilisation de cultures couvre-sol
Manguier,Utilisation de variétés résistantes
Manguier,Inoculation bactérienne
Carottes,Désherbage manuel
Carottes,Semis direct
Aubergine,Semis direct
Aubergine,Paillage
Aubergine,Traitement des semences
Sorgho fourrager,Inoculation bactérienne
Sorgho fourrager,Contrôle biologique des nuisibles
Sorgho fourrager,Application de compost
Céleri,Enrichissement en mycorhizes
Céleri,Désherbage manuel
Ciboulette,Contrôle biologique des nuisibles
Ciboulette,Désherbage manuel
Manioc,Contrôle biologique des nuisibles
Manioc,Application de biopesticides
Manioc,Utilisation de variétés résistantes
Ail,Utilisation de cultures couvre-sol
Ail,Utilisation de cultures couvre-sol
Ail,Contrôle biologique des nuisibles
Seigle,Désherbage manuel
Seigle,Utilisation de cultures couvre-sol
Seigle,Traitement des semences
Sesame,Enrichissement en mycorhizes
Sesame,Inoculation bactérienne
Quinoa,Semis direct
Quinoa,Application de compost
Quinoa,Technique D'engrais vert
Manioc,Éclaircissage
Manioc,Contrôle biologique des nuisibles
Manioc,Semis direct
Nectarine,Application de biopesticides
Nectarine,Mulchage
Orge de printemps,Application de compost
Orge de printemps,Fertilisation foliaire
Orge de printemps,Éclaircissage
Blé dur,Application de biopesticides
Blé dur,Fertilisation au compost
Blé dur,Utilisation de cultures couvre-sol
Pommes de terre,Enrichissement en mycorhizes
Pommes de terre,Paillage
Brocoli,Fertilisation au compost
Brocoli,Contrôle biologique des nuisibles
Manguier,Fertilisation foliaire
Manguier,Utilisation de cultures couvre-sol
Trèfle,Désherbage manuel
Trèfle,Utilisation de cultures couvre-sol
Trèfle,Utilisation de variétés résistantes
Gingembre,Utilisation de variétés résistantes
Gingembre,Rotation des cultures
Persil,Utilisation de cultures couvre-sol
Persil,Éclaircissage
Sorgho fourrager,Fertilisation au compost
Sorgho fourrager,Contrôle biologique des nuisibles
Abricotier,Paillage
Abricotier,Traitement des semences
Lin oléagineux,Semis direct
Lin oléagineux,Inoculation bactérienne
Colza,Mulchage
Colza,Semis direct
Colza,Traitement des semences
Pistachier,Traitement des semences
Pistachier,Semis direct
Pistachier,Semis direct
Sorgho grain,Éclaircissage
Sorgho grain,Éclaircissage des plants
Sorgho grain,Mulchage
Tamarin,Fertilisation au compost
Tamarin,Éclaircissage des plants
Artichaut,Mulchage
Artichaut,Semis direct
Coton,Éclaircissage des plants
Coton,Fertilisation foliaire
Artichaut,Technique D'engrais vert
Artichaut,Paillage
Artichaut,Application de biopesticides
Coton,Désherbage manuel
Coton,Contrôle biologique des nuisibles
Bette à carde,Irrigation goutte à goutte
Bette à carde,Traitement des semences
Fèves,Utilisation de variétés résistantes
Fèves,Enrichissement en mycorhizes
Fèves,Mulchage
Épinard,Fertilisation au compost
Épinard,Fertilisation au compost
Bette à carde,Paillage
Bette à carde,Contrôle biologique des nuisibles
Bette à carde,Enrichissement en mycorhizes
Coton,Fertilisation foliaire
Coton,Rotation des cultures
Coton,Désherbage manuel
Sarrasin,Fertilisation foliaire
Sarrasin,Fertilisation au compost
Sarrasin,Irrigation goutte à goutte
Sesame,Technique D'engrais vert
Sesame,Application de biopesticides
Sesame,Éclaircissage
Palmier dattier,Enrichissement en mycorhizes
Palmier dattier,Semis direct
Palmier dattier,Fertilisation au compost
Artichaut,Fertilisation foliaire
Artichaut,Désherbage manuel
Chou rouge,Application de compost
Chou rouge,Éclaircissage
Chou rouge,Semis direct
Origan,Utilisation de cultures couvre-sol
Origan,Enrichissement en mycorhizes
Origan,Rotation des cultures
Pois,Application de compost
Pois,Utilisation de cultures couvre-sol
Poirier,Utilisation de variétés résistantes
Poirier,Application de biopesticides
Rhubarbe,Utilisation de variétés résistantes
Rhubarbe,Fertilisation au compost
Rhubarbe,Éclaircissage des plants
Mûre,Rotation des cultures
Mûre,Application de compost
Mûre,Fertilisation au compost
Melon d'eau,Semis direct
Melon d'eau,Irrigation goutte à goutte
Melon d'eau,Éclaircissage
Caféier,Irrigation goutte à goutte
Caféier,Rotation des cultures
Grenadier,Irrigation goutte à goutte
