nom,description,cycle_croissance_jours,rendement_attendu,zone_culture_recommandee,type_sol_prefere,irrigation
Orge de printemps,Riche en vitamines,462,14,Nord,Sablonneux,659.07
Piment vert,Haricot de petite taille riche en fibres.,834,3,Zone sèche,Argileux,471.53
Safran,Céréale d'été riche en fibres.,478,17,Nord,Sablonneux,202.13
Fèves,Fruit,426,13,Est,Argileux,568.34
Soja,Graminée résistante à la sécheresse.,53,5,Est,Argileux,663.5
Grenadier,Légume,742,4,Ouest,Argileux,719.85
Papyrus,Riche en vitamines,46,17,Sud,Sablonneux,478.78
Kiwi,Légume,248,14,Sud,Limoneux,559.91
Laitue,Légumineuse riche en protéines.,911,2,Zone sèche,Argileux,433.76
Artichaut,Légumineuse riche en protéines.,205,18,Sud,Sablonneux,75.42
Ananas,Variété de maïs sucrée et tendre.,262,15,Ouest,Argileux,997.27
Canne à sucre,Culture aquatique à grains essentiels.,24,18,Nord,Sablonneux,866.53
Canneberge,Riche en vitamines,149,14,Ouest,Argileux,670.18
Poirier,Culture aquatique à grains essentiels.,761,5,Ouest,Sablonneux,57.06
Arbre à pain,Légume,979,6,Sud,Limoneux,715.08
Champignon shiitake,Graminée résistante à la sécheresse.,864,6,Ouest,Argileux,360.96
Litchi,,512,17,Zone sèche,Limoneux,297.8
Baobab,Légumineuse riche en protéines.,804,7,Est,Limoneux,182.95
Quinoa,Culture aquatique à grains essentiels.,482,6,Ouest,Argileux,352.6
Rhubarbe,Graminée résistante à la sécheresse.,176,8,Sud,Limoneux,211.77
Quinoa,Fruit,782,8,Ouest,Limoneux,155.5
Camomille,Haricot de petite taille riche en fibres.,488,9,Zone sèche,Argileux,96.19
Blé tendre,Lentille pour les clim,43,19,Nord,Limoneux,783.26
Abricotier,Légume,690,15,Nord,Limoneux,496.54
Nectarine,Graminée résistante à la sécheresse.,56,10,Zone sèche,Sablonneux,81.44
Blé dur,Légumineuse riche en protéines.,288,6,Est,Sablonneux,540.21
Poirier,Haricot de petite taille riche en fibres.,17,9,Nord,Argileux,147.26
Blé tendre,Lentille pour les clim,954,16,Ouest,Argileux,361.38
Basilic,Culture céréalière riche en amidon.,179,9,Zone sèche,Argileux,649.85
Tournesol,Riche en vitamines,464,5,Sud,Sablonneux,735.19
Seigle,Culture céréalière riche en amidon.,458,20,Nord,Limoneux,639.39
Chou rouge,Légumineuse riche en protéines.,505,5,Nord,Argileux,670.55
Arachide,Légume,569,20,Sud,Argileux,283.6
Théier,Haricot de petite taille riche en fibres.,447,5,Nord,Argileux,464.17
Coton,Haricot de petite taille riche en fibres.,850,19,Zone sèche,Sablonneux,81.8
Ciboulette,Culture céréalière riche en amidon.,294,2,Est,Limoneux,307.43
Céleri,Culture aquatique à grains essentiels.,879,14,Est,Sablonneux,119.78
Manguier,Légumineuse riche en protéines.,485,9,Nord,Limoneux,629.87
Noix de cajou,Fruit,550,16,Zone sèche,Argileux,248.16
Poirier,,854,20,Est,Argileux,811.44
Tomates,Variété de maïs sucrée et tendre.,98,9,Ouest,Argileux,60.31
Cacao,Haricot de petite taille riche en fibres.,416,11,Zone sèche,Argileux,357.64
Carottes,Culture aquatique à grains essentiels.,759,18,Zone sèche,Limoneux,805.02
Romarin,Variété de maïs sucrée et tendre.,976,12,Nord,Sablonneux,858.88
Noix de cajou,Légume,57,13,Ouest,Limoneux,284.93
Thym,Riche en vitamines,942,11,Zone sèche,Argileux,42.96
Pistachier,Haricot de petite taille riche en fibres.,905,10,Sud,Sablonneux,422.03
Lentilles,Riche en vitamines,573,9,Nord,Limoneux,714.0
Maïs sucré,Culture aquatique à grains essentiels.,307,18,Zone sèche,Argileux,1000.36
Soja,Lentille pour les clim,645,20,Ouest,Sablonneux,637.0
Orge de printemps,Légume,599,5,Est,Sablonneux,26.8
Vigne à raisin,Fruit,462,9,Nord,Sablonneux,588.25
Millet,Variété de maïs sucrée et tendre.,772,9,Zone sèche,Sablonneux,376.75
Tomates,Variété de maïs sucrée et tendre.,44,11,Est,Argileux,416.95
Concombre,,306,14,Zone sèche,Limoneux,404.13
Menthe,Céréale d'été riche en fibres.,258,1,Est,Limoneux,894.29
Mizuna,Graminée résistante à la sécheresse.,76,15,Est,Sablonneux,93.24
Curcuma,Culture aquatique à grains essentiels.,902,12,Sud,Limoneux,557.58
Poivron rouge,Lentille pour les clim,250,20,Est,Sablonneux,570.95
Muscade,Graminée résistante à la sécheresse.,270,10,Nord,Sablonneux,600.68
Lupin,Lentille pour les clim,11,9,Nord,Limoneux,95.32
Muscade,Riche en vitamines,837,13,Sud,Argileux,330.49
Tomates,Variété de maïs sucrée et tendre.,402,9,Ouest,Sablonneux,110.26
Baies de goji,Culture aquatique à grains essentiels.,599,2,Nord,Argileux,106.63
Pommier,Riche en vitamines,353,3,Sud,Limoneux,680.15
Lupin,Riche en vitamines,547,19,Ouest,Limoneux,654.07
Coton,Graminée résistante à la sécheresse.,924,18,Nord,Limoneux,354.07
Avoine nue,,830,6,Nord,Argileux,24.94
Fraise,Graminée résistante à la sécheresse.,702,11,Ouest,Argileux,1000.42
Banane plantain,Légume,708,17,Sud,Sablonneux,73.88
Bette à carde,Graminée résistante à la sécheresse.,717,20,Est,Limoneux,84.63
Jujubier,Légume,686,13,Zone sèche,Argileux,522.43
Seigle,Légumineuse riche en protéines.,448,11,Sud,Limoneux,202.68
Chou-fleur,Riche en vitamines,807,18,Nord,Argileux,355.15
Vanille,Culture céréalière riche en amidon.,640,20,Est,Limoneux,86.77
Mizuna,Variété de maïs sucrée et tendre.,612,18,Est,Limoneux,385.02
Rhubarbe,Céréale d'été riche en fibres.,894,4,Nord,Limoneux,427.35
Arachide,Céréale d'été riche en fibres.,652,14,Sud,Sablonneux,252.95
Millet,Légumineuse riche en protéines.,82,3,Ouest,Sablonneux,111.12
Papaye,Graminée résistante à la sécheresse.,169,13,Est,Sablonneux,616.47
Luzerne,,821,14,Zone sèche,Limoneux,446.93
Arachide,Culture aquatique à grains essentiels.,240,19,Est,Argileux,549.65
Soja,Céréale d'été riche en fibres.,635,17,Est,Limoneux,713.5
Bette à carde,Fruit,675,1,Sud,Argileux,289.54
Cacao,Légumineuse riche en protéines.,281,1,Sud,Sablonneux,379.21
Champignon shiitake,Graminée résistante à la sécheresse.,840,16,Zone sèche,Limoneux,6.22
Baobab,Riche en vitamines,512,18,Zone sèche,Limoneux,452.03
Gingembre,Haricot de petite taille riche en fibres.,189,6,Nord,Sablonneux,652.44
Lentilles,Lentille pour les clim,738,2,Ouest,Sablonneux,260.61
Blé tendre,Culture aquatique à grains essentiels.,941,6,Nord,Argileux,170.62
Vanille,Culture aquatique à grains essentiels.,280,15,Zone sèche,Limoneux,831.54
Soja,Céréale d'été riche en fibres.,178,9,Zone sèche,Sablonneux,336.85
Vanille,Variété de maïs sucrée et tendre.,677,13,Est,Limoneux,923.39
Litchi,Graminée résistante à la sécheresse.,169,13,Ouest,Argileux,17.85
Muscade,Culture céréalière riche en amidon.,973,8,Nord,Sablonneux,231.34
Colza oléagineux,Haricot de petite taille riche en fibres.,506,13,Zone sèche,Limoneux,260.25
Poirier,Céréale d'été riche en fibres.,557,1,Nord,Limoneux,625.08
Acacia,Lentille pour les clim,527,2,Ouest,Sablonneux,52.92
Framboise,Lentille pour les clim,201,17,Est,Limoneux,113.42
Amandier,Riche en vitamines,525,10,Ouest,Limoneux,650.15
Noix de cajou,Lentille pour les clim,134,4,Nord,Limoneux,315.69
Origan,Culture céréalière riche en amidon.,568,1,Est,Sablonneux,958.6
Ananas,Culture céréalière riche en amidon.,19,20,Sud,Limoneux,218.39
Olives,Variété de maïs sucrée et tendre.,217,4,Sud,Argileux,15.59
Amandier,Culture céréalière riche en amidon.,938,17,Sud,Sablonneux,658.28
Noyer,Légume,928,18,Est,Sablonneux,82.44
Carottes,Culture aquatique à grains essentiels.,568,20,Zone sèche,Limoneux,490.62
Gingembre,Riche en vitamines,260,4,Sud,Sablonneux,645.04
Artichaut,Fruit,526,7,Ouest,Argileux,734.68
Romarin,Culture aquatique à grains essentiels.,548,12,Nord,Limoneux,302.4
Quinoa,Haricot de petite taille riche en fibres.,761,18,Zone sèche,Sablonneux,144.08
Pistachier,Haricot de petite taille riche en fibres.,929,17,Zone sèche,Limoneux,340.44
Thym,Lentille pour les clim,560,6,Zone sèche,Sablonneux,221.58
Pêcher,Culture aquatique à grains essentiels.,795,7,Ouest,Limoneux,699.18
Chou frisé,Graminée résistante à la sécheresse.,471,7,Nord,Limoneux,80.96
Maïs sucré,Riche en vitamines,494,6,Ouest,Limoneux,881.39
Bambou,Culture céréalière riche en amidon.,772,17,Ouest,Sablonneux,497.75
Ciboulette,Lentille pour les clim,508,10,Nord,Argileux,32.89
Tamarin,Céréale d'été riche en fibres.,798,5,Sud,Sablonneux,15.94
Melon d'eau,Graminée résistante à la sécheresse.,778,8,Ouest,Sablonneux,521.23
Safran,Variété de maïs sucrée et tendre.,132,17,Zone sèche,Argileux,263.82
Manguier,Graminée résistante à la sécheresse.,419,5,Ouest,Limoneux,992.75
Laitue,Lentille pour les clim,43,9,Ouest,Argileux,782.16
Nectarine,Culture céréalière riche en amidon.,987,4,Ouest,Limoneux,692.35
Bambou,Culture aquatique à grains essentiels.,894,3,Est,Sablonneux,14.25
Arachide,Haricot de petite taille riche en fibres.,380,7,Nord,Sablonneux,447.59
Persil,Fruit,925,3,Est,Limoneux,618.78
Fèves,Légume,364,1,Est,Sablonneux,5.22
Safran,Lentille pour les clim,131,16,Nord,Sablonneux,977.51
Coco,Fruit,440,13,Ouest,Limoneux,533.78
Romarin,Culture aquatique à grains essentiels.,618,5,Est,Limoneux,37.7
Rhubarbe,Légumineuse riche en protéines.,470,1,Est,Sablonneux,569.64
Laitue,Variété de maïs sucrée et tendre.,694,15,Est,Argileux,723.44
Prunier,Légumineuse riche en protéines.,896,3,Zone sèche,Limoneux,792.52
Abricotier,Culture céréalière riche en amidon.,491,15,Nord,Argileux,791.82
Rhubarbe,Haricot de petite taille riche en fibres.,92,12,Est,Argileux,444.73
Safran,Variété de maïs sucrée et tendre.,395,7,Sud,Limoneux,625.71
Baobab,Lentille pour les clim,268,19,Zone sèche,Argileux,614.51
Camomille,Céréale d'été riche en fibres.,689,3,Zone sèche,Limoneux,615.11
Champignon shiitake,Légume,74,7,Nord,Limoneux,352.87
Palmier dattier,Céréale d'été riche en fibres.,973,7,Est,Sablonneux,146.51
Canistel,Légume,333,15,Ouest,Limoneux,103.39
Banane plantain,Culture céréalière riche en amidon.,388,9,Sud,Sablonneux,485.82
Safran,Culture aquatique à grains essentiels.,731,2,Est,Sablonneux,96.4
Champignon shiitake,Riche en vitamines,905,12,Zone sèche,Limoneux,743.63
Ciboulette,Céréale d'été riche en fibres.,161,19,Sud,Argileux,572.72
Quinoa,Céréale d'été riche en fibres.,348,17,Ouest,Limoneux,524.63
Pois,Fruit,225,18,Sud,Sablonneux,392.07
Papyrus,Céréale d'été riche en fibres.,33,16,Sud,Limoneux,421.68
Ail,Céréale d'été riche en fibres.,78,13,Est,Sablonneux,740.51
Maïs sucré,Légume,219,10,Ouest,Argileux,627.42
Maïs sucré,Haricot de petite taille riche en fibres.,741,9,Zone sèche,Argileux,967.69
Cacao,Céréale d'été riche en fibres.,608,9,Est,Argileux,940.92
Pois,Lentille pour les clim,852,12,Est,Sablonneux,610.09
Blé tendre,Culture aquatique à grains essentiels.,150,5,Est,Limoneux,399.25
Romarin,Culture aquatique à grains essentiels.,259,13,Sud,Sablonneux,334.85
Blé dur,Lentille pour les clim,436,11,Est,Sablonneux,391.55
Safran,Culture aquatique à grains essentiels.,865,14,Sud,Sablonneux,365.08
Coco,Céréale d'été riche en fibres.,120,3,Sud,Limoneux,898.95
Acacia,Lentille pour les clim,135,15,Nord,Sablonneux,349.05
Courgettes,,962,14,Zone sèche,Argileux,135.9
Lentilles,Culture céréalière riche en amidon.,530,15,Sud,Limoneux,936.89
Menthe,Culture céréalière riche en amidon.,150,7,Est,Sablonneux,919.01
Tournesol,Culture aquatique à grains essentiels.,23,6,Sud,Sablonneux,991.07
Rhubarbe,Culture céréalière riche en amidon.,940,15,Nord,Sablonneux,616.37
Kiwi,,204,12,Zone sèche,Sablonneux,633.84
Noix de cajou,Culture céréalière riche en amidon.,118,14,Sud,Argileux,240.59
Nectarine,Fruit,943,1,Ouest,Argileux,170.56
Bambou,Lentille pour les clim,33,19,Sud,Sablonneux,632.84
Lavande,Légume,149,13,Nord,Sablonneux,616.19
Poivron rouge,Culture céréalière riche en amidon.,536,13,Est,Sablonneux,277.95
Origan,Céréale d'été riche en fibres.,719,20,Est,Sablonneux,721.77
Luzerne,Graminée résistante à la sécheresse.,143,12,Ouest,Sablonneux,685.41
Palmier dattier,Légumineuse riche en protéines.,736,19,Sud,Argileux,685.85
Haricot mungo,Légumineuse riche en protéines.,486,12,Nord,Argileux,796.01
Lin oléagineux,Légume,560,11,Ouest,Sablonneux,404.48
Coco,Culture aquatique à grains essentiels.,52,1,Zone sèche,Limoneux,141.84
Chou frisé,Haricot de petite taille riche en fibres.,718,8,Est,Argileux,442.04
Tournesol,Haricot de petite taille riche en fibres.,312,19,Ouest,Limoneux,538.04
Camomille,Graminée résistante à la sécheresse.,713,4,Zone sèche,Argileux,476.63
Bette à carde,Culture aquatique à grains essentiels.,586,12,Est,Argileux,86.15
Framboise,Haricot de petite taille riche en fibres.,93,8,Est,Argileux,365.56
Chou cavalier,Culture aquatique à grains essentiels.,263,9,Est,Limoneux,454.0
Chou cavalier,Variété de maïs sucrée et tendre.,511,6,Sud,Sablonneux,853.81
Vigne à raisin,Graminée résistante à la sécheresse.,370,8,Est,Sablonneux,884.27
Lin oléagineux,Légume,944,9,Zone sèche,Argileux,800.09
Chou-fleur,Légume,789,5,Nord,Argileux,502.63
Cacao,Graminée résistante à la sécheresse.,25,13,Zone sèche,Argileux,584.54
Amandier,Variété de maïs sucrée et tendre.,935,16,Sud,Sablonneux,249.89
Colza,Légumineuse riche en protéines.,107,14,Nord,Limoneux,498.2
Kumquat,Culture céréalière riche en amidon.,86,18,Zone sèche,Argileux,768.76
Pak choï,Graminée résistante à la sécheresse.,38,1,Est,Limoneux,828.59
Coco,Céréale d'été riche en fibres.,419,5,Sud,Limoneux,947.95
Ciboulette,Riche en vitamines,543,6,Sud,Argileux,399.54
Lentilles,Variété de maïs sucrée et tendre.,305,5,Est,Sablonneux,869.58
Lentilles,Riche en vitamines,506,13,Ouest,Sablonneux,486.14
Radis,,146,19,Est,Argileux,269.21
Riz paddy,Graminée résistante à la sécheresse.,698,19,Ouest,Sablonneux,663.13
Coco,,514,6,Est,Argileux,171.54
Pommes de terre,Culture céréalière riche en amidon.,906,19,Ouest,Sablonneux,892.15
Avoine nue,Culture aquatique à grains essentiels.,473,20,Zone sèche,Argileux,304.49
Mûre,Riche en vitamines,809,8,Est,Sablonneux,829.92
Pommier,Légumineuse riche en protéines.,772,14,Ouest,Sablonneux,267.91
Poivron rouge,Légumineuse riche en protéines.,731,11,Nord,Argileux,891.83
Papyrus,Culture céréalière riche en amidon.,876,7,Est,Sablonneux,845.17
Papyrus,Lentille pour les clim,185,14,Ouest,Limoneux,508.58
Bambou,Riche en vitamines,57,18,Est,Sablonneux,249.69
Aubergine,Lentille pour les clim,494,15,Ouest,Sablonneux,87.1
Piment vert,Riche en vitamines,577,3,Ouest,Sablonneux,775.86
Radis,Culture aquatique à grains essentiels.,369,19,Zone sèche,Sablonneux,328.81
Riz paddy,Légume,322,14,Sud,Limoneux,826.03
Théier,Fruit,825,18,Zone sèche,Argileux,493.9
Ananas,Culture aquatique à grains essentiels.,53,12,Nord,Limoneux,672.44
Baobab,Légumineuse riche en protéines.,888,18,Ouest,Argileux,645.11
Carottes,,894,9,Ouest,Sablonneux,86.62
Caféier,Graminée résistante à la sécheresse.,978,18,Zone sèche,Argileux,544.79
Navet,Fruit,430,20,Est,Sablonneux,440.76
Pak choï,Lentille pour les clim,205,12,Nord,Argileux,358.07
Artichaut,Légumineuse riche en protéines.,163,19,Zone sèche,Argileux,754.27
Basilic,Culture céréalière riche en amidon.,298,2,Sud,Argileux,424.08
Canne à sucre,Fruit,157,9,Nord,Limoneux,217.77
Brocoli,Céréale d'été riche en fibres.,517,2,Ouest,Sablonneux,957.04
Mizuna,Variété de maïs sucrée et tendre.,365,3,Nord,Sablonneux,83.68
Bette à carde,Riche en vitamines,425,16,Est,Sablonneux,656.49
Gingembre,Graminée résistante à la sécheresse.,664,8,Nord,Limoneux,238.89
Camomille,Légumineuse riche en protéines.,680,1,Sud,Limoneux,677.57
Cannelle,Légume,927,13,Nord,Argileux,726.55
Haricot mungo,Lentille pour les clim,878,5,Est,Argileux,591.1
Kiwi,Graminée résistante à la sécheresse.,461,12,Ouest,Sablonneux,884.28
Safran,Haricot de petite taille riche en fibres.,725,15,Nord,Argileux,268.0
Noyer,Culture aquatique à grains essentiels.,427,7,Zone sèche,Sablonneux,249.05
Pois chiche,Lentille pour les clim,217,5,Ouest,Limoneux,32.15
Blé dur,Céréale d'été riche en fibres.,36,1,Nord,Argileux,57.82
Mûre,Culture aquatique à grains essentiels.,160,20,Est,Argileux,839.21
Figuier,Lentille pour les clim,256,6,Ouest,Limoneux,301.08
Lentilles,Céréale d'été riche en fibres.,746,1,Sud,Limoneux,40.93
Pêcher,Graminée résistante à la sécheresse.,337,4,Sud,Sablonneux,921.09
Pommes de terre,Variété de maïs sucrée et tendre.,702,2,Sud,Argileux,812.55
Chou cavalier,Variété de maïs sucrée et tendre.,469,13,Est,Limoneux,539.03
Baies de goji,Haricot de petite taille riche en fibres.,273,11,Zone sèche,Limoneux,788.13
Artichaut,Lentille pour les clim,649,12,Sud,Sablonneux,939.95
Pêcher,Céréale d'été riche en fibres.,990,13,Ouest,Argileux,218.17
Grenadier,Graminée résistante à la sécheresse.,711,11,Est,Limoneux,993.7
Ciboulette,Riche en vitamines,492,10,Sud,Argileux,257.51
Chou-fleur,Lentille pour les clim,135,6,Ouest,Argileux,625.7
Noix de cajou,Légume,677,17,Sud,Limoneux,45.03
Cacao,Légumineuse riche en protéines.,720,9,Nord,Sablonneux,425.06
Menthe,Variété de maïs sucrée et tendre.,39,13,Nord,Argileux,632.3
Safran,Graminée résistante à la sécheresse.,326,3,Zone sèche,Argileux,763.37
Camomille,Céréale d'été riche en fibres.,171,15,Zone sèche,Limoneux,99.71
Luzerne,Légumineuse riche en protéines.,834,20,Sud,Argileux,757.76
Châtaignier,Variété de maïs sucrée et tendre.,662,3,Zone sèche,Limoneux,120.11
Tamarin,Légume,227,13,Nord,Argileux,590.81
Gingembre,Culture aquatique à grains essentiels.,745,13,Est,Argileux,819.1
Luzerne,Lentille pour les clim,910,15,Zone sèche,Limoneux,436.4
Théier,Variété de maïs sucrée et tendre.,97,15,Zone sèche,Limoneux,378.87
Pois,Culture céréalière riche en amidon.,46,16,Sud,Argileux,268.7
Navet,Fruit,220,4,Nord,Sablonneux,34.06
Prunier,Culture céréalière riche en amidon.,551,17,Est,Limoneux,513.8
Manguier,Fruit,785,13,Zone sèche,Limoneux,236.82
Chou rouge,Riche en vitamines,418,18,Sud,Sablonneux,860.11
Maïs sucré,Lentille pour les clim,302,20,Nord,Limoneux,76.74
Blé dur,Légume,95,13,Zone sèche,Sablonneux,160.85
Noix de cajou,Légumineuse riche en protéines.,466,16,Sud,Argileux,629.29
Vesce,Culture aquatique à grains essentiels.,125,19,Ouest,Limoneux,742.9
Papyrus,Lentille pour les clim,511,14,Ouest,Limoneux,167.93
Arachide,Graminée résistante à la sécheresse.,729,14,Zone sèche,Sablonneux,244.0
Jujubier,Fruit,794,1,Ouest,Limoneux,714.31
Menthe,,612,16,Zone sèche,Sablonneux,370.71
Poivron rouge,Légume,335,8,Ouest,Limoneux,859.05
Avoine nue,Lentille pour les clim,464,5,Nord,Limoneux,207.66
Banane plantain,Lentille pour les clim,316,2,Nord,Argileux,161.58
Laitue,Fruit,959,9,Ouest,Sablonneux,84.63
Avoine nue,Lentille pour les clim,965,6,Est,Sablonneux,920.85
Olives,Culture céréalière riche en amidon.,134,16,Sud,Sablonneux,597.42
Brocoli,Graminée résistante à la sécheresse.,966,18,Zone sèche,Argileux,204.72
Maïs sucré,Riche en vitamines,854,14,Ouest,Argileux,512.26
Arbre à pain,,17,18,Ouest,Sablonneux,865.26
Tamarin,Céréale d'été riche en fibres.,15,8,Nord,Argileux,276.27
Tomates,Haricot de petite taille riche en fibres.,858,10,Zone sèche,Limoneux,649.33
Millet,Lentille pour les clim,385,18,Sud,Argileux,399.44
Palmier dattier,Variété de maïs sucrée et tendre.,280,11,Sud,Argileux,72.95
Radis,Légume,458,20,Ouest,Sablonneux,512.41
Ananas,Haricot de petite taille riche en fibres.,790,4,Sud,Sablonneux,237.09
Vesce,Riche en vitamines,500,9,Sud,Argileux,140.63
Navet,Riche en vitamines,81,15,Zone sèche,Argileux,281.05
Litchi,Riche en vitamines,210,11,Sud,Argileux,211.43
Tamarin,Lentille pour les clim,633,11,Sud,Sablonneux,465.51
Courgettes,Culture céréalière riche en amidon.,499,4,Nord,Limoneux,491.79
Origan,Légume,834,5,Zone sèche,Limoneux,641.27
Poivron rouge,Légume,780,9,Est,Argileux,941.08
Gingembre,Haricot de petite taille riche en fibres.,672,19,Nord,Limoneux,563.21
Épinard,Fruit,687,20,Nord,Limoneux,832.22
Arachide,Légumineuse riche en protéines.,708,14,Zone sèche,Argileux,234.46
Pêcher,Lentille pour les clim,116,4,Sud,Sablonneux,477.3
Canistel,Haricot de petite taille riche en fibres.,14,19,Est,Sablonneux,710.86
Pois chiche,Culture céréalière riche en amidon.,453,14,Sud,Limoneux,564.79
Papyrus,Haricot de petite taille riche en fibres.,366,3,Zone sèche,Limoneux,690.29
Palmier dattier,Culture aquatique à grains essentiels.,182,3,Est,Limoneux,693.87
Noisetier,Culture aquatique à grains essentiels.,524,9,Ouest,Limoneux,401.84
Champignon shiitake,Légumineuse riche en protéines.,155,7,Sud,Sablonneux,888.0
Courgettes,Graminée résistante à la sécheresse.,497,5,Est,Limoneux,563.94
Tournesol,Légume,756,20,Sud,Argileux,935.45
Lentilles,Légume,610,9,Ouest,Argileux,14.71
Gingembre,Graminée résistante à la sécheresse.,667,1,Nord,Limoneux,901.91
Amandier,Céréale d'été riche en fibres.,465,2,Ouest,Limoneux,429.49
Épinard,Culture aquatique à grains essentiels.,913,17,Ouest,Argileux,630.94
Maïs sucré,Haricot de petite taille riche en fibres.,899,17,Est,Sablonneux,610.37
Acacia,Haricot de petite taille riche en fibres.,489,7,Ouest,Limoneux,1.43
Myrtille,Fruit,807,8,Sud,Argileux,129.8
Nectarine,Variété de maïs sucrée et tendre.,192,16,Nord,Limoneux,171.37
Muscade,Céréale d'été riche en fibres.,486,17,Ouest,Argileux,245.62
Rhubarbe,Légumineuse riche en protéines.,523,14,Zone sèche,Limoneux,858.31
Coton,Fruit,937,14,Nord,Sablonneux,129.44
Litchi,Culture aquatique à grains essentiels.,514,4,Zone sèche,Sablonneux,233.47
Betterave sucrière,Haricot de petite taille riche en fibres.,423,10,Est,Argileux,434.65
Mizuna,Fruit,631,20,Nord,Limoneux,277.34
Persil,Riche en vitamines,779,10,Est,Sablonneux,885.97
Tomates,Culture céréalière riche en amidon.,462,7,Ouest,Limoneux,145.45
Noix de cajou,Légumineuse riche en protéines.,632,16,Est,Argileux,133.53
Champignon pleurote,Légumineuse riche en protéines.,814,3,Est,Argileux,797.01
Coco,Culture céréalière riche en amidon.,751,12,Est,Limoneux,283.12
Lin oléagineux,Culture céréalière riche en amidon.,851,1,Nord,Limoneux,494.32
Nectarine,Céréale d'été riche en fibres.,794,8,Zone sèche,Argileux,429.93
Vanille,Céréale d'été riche en fibres.,128,14,Zone sèche,Argileux,778.17
Baies de goji,Variété de maïs sucrée et tendre.,64,13,Sud,Sablonneux,875.99
Poirier,Fruit,110,16,Zone sèche,Limoneux,621.45
Chou frisé,Lentille pour les clim,629,4,Nord,Sablonneux,943.62
Amandier,,328,4,Sud,Limoneux,260.32
