nom,description,cycle_croissance_jours,rendement_attendu,zone_culture_recommandee,type_sol_prefere,irrigation
Grenadier,Lentille pour les clim,123,11,Zone sèche,Sablonneux,593.37
Radis,Graminée résistante à la sécheresse.,740,4,Est,Argileux,325.78
Anis étoilé,Variété de maïs sucrée et tendre.,962,16,Zone sèche,Limoneux,32.77
Gingembre,Variété de maïs sucrée et tendre.,922,14,Sud,Limoneux,242.59
Maïs sucré,Haricot de petite taille riche en fibres.,241,16,Est,Limoneux,600.36
Noix de cajou,Céréale d'été riche en fibres.,80,17,Ouest,Limoneux,53.17
Muscade,,82,3,Sud,Argileux,448.76
Colza,Lentille pour les clim,492,6,Est,Limoneux,475.46
Baobab,Culture céréalière riche en amidon.,148,6,Sud,Limoneux,9.85
Litchi,Haricot de petite taille riche en fibres.,621,10,Ouest,Limoneux,872.67
Fèves,Variété de maïs sucrée et tendre.,32,2,Zone sèche,Limoneux,746.54
Sorgho fourrager,,145,7,Est,Sablonneux,241.84
Kumquat,Graminée résistante à la sécheresse.,930,16,Zone sèche,Limoneux,13.06
Palmier dattier,Légumineuse riche en protéines.,2,18,Ouest,Sablonneux,352.24
Colza,Fruit,827,17,Ouest,Argileux,500.67
Jujubier,,583,16,Nord,Argileux,289.2
Mûre,,953,13,Sud,Argileux,919.33
Bambou,Légumineuse riche en protéines.,23,3,Est,Limoneux,217.93
Caféier,Variété de maïs sucrée et tendre.,308,6,Nord,Sablonneux,241.1
Maïs sucré,Céréale d'été riche en fibres.,15,2,Zone sèche,Argileux,700.37
Camomille,Céréale d'été riche en fibres.,47,18,Zone sèche,Limoneux,751.04
Laitue,Culture céréalière riche en amidon.,50,4,Est,Argileux,300.62
Champignon pleurote,Céréale d'été riche en fibres.,241,6,Zone sèche,Sablonneux,790.82
Brocoli,Légume,784,4,Est,Argileux,298.91
Radis,Graminée résistante à la sécheresse.,621,6,Sud,Argileux,42.63
Curcuma,Riche en vitamines,962,18,Ouest,Sablonneux,100.53
Millet,Haricot de petite taille riche en fibres.,730,7,Nord,Limoneux,680.77
Radis,Fruit,645,11,Zone sèche,Limoneux,1.31
Seigle,Variété de maïs sucrée et tendre.,362,2,Ouest,Sablonneux,221.51
Champignon pleurote,Légumineuse riche en protéines.,966,20,Est,Argileux,624.03
Fèves,Culture aquatique à grains essentiels.,892,18,Sud,Argileux,328.81
Origan,Fruit,226,11,Nord,Limoneux,251.04
Basilic,Graminée résistante à la sécheresse.,952,17,Est,Limoneux,694.94
Champignon shiitake,Céréale d'été riche en fibres.,172,18,Ouest,Sablonneux,735.21
Chou frisé,Fruit,953,4,Est,Limoneux,780.6
Betterave sucrière,Graminée résistante à la sécheresse.,193,7,Est,Argileux,358.98
Anis étoilé,Haricot de petite taille riche en fibres.,928,16,Est,Sablonneux,598.15
Colza,Haricot de petite taille riche en fibres.,236,4,Ouest,Argileux,232.99
Soja,Légumineuse riche en protéines.,549,9,Ouest,Sablonneux,691.35
Rhubarbe,Culture aquatique à grains essentiels.,886,9,Nord,Argileux,162.99
Orge de printemps,Lentille pour les clim,945,19,Ouest,Argileux,476.21
Banane plantain,Haricot de petite taille riche en fibres.,813,7,Nord,Argileux,242.16
Litchi,Variété de maïs sucrée et tendre.,374,9,Nord,Argileux,84.77
Riz paddy,Légumineuse riche en protéines.,40,20,Est,Limoneux,654.93
Canneberge,,794,10,Est,Limoneux,637.25
Lentilles,Variété de maïs sucrée et tendre.,845,11,Nord,Sablonneux,838.02
Sorgho grain,Variété de maïs sucrée et tendre.,29,10,Sud,Sablonneux,497.74
Baies de goji,Variété de maïs sucrée et tendre.,627,16,Zone sèche,Argileux,852.46
Origan,Céréale d'été riche en fibres.,50,8,Ouest,Limoneux,562.2
Papaye,Culture céréalière riche en amidon.,422,13,Sud,Sablonneux,68.99
Avoine nue,Céréale d'été riche en fibres.,296,7,Sud,Limoneux,140.12
Poirier,Culture céréalière riche en amidon.,462,6,Est,Sablonneux,430.1
Riz paddy,Céréale d'été riche en fibres.,662,10,Sud,Limoneux,629.8
Cacao,Lentille pour les clim,419,9,Zone sèche,Argileux,242.67
Avoine nue,Culture céréalière riche en amidon.,960,19,Est,Sablonneux,619.99
Melon d'eau,Graminée résistante à la sécheresse.,155,15,Ouest,Sablonneux,101.66
Radis,Céréale d'été riche en fibres.,567,11,Nord,Argileux,867.82
Muscade,Céréale d'été riche en fibres.,450,12,Nord,Argileux,254.61
Colza,Légume,168,8,Est,Sablonneux,500.65
Millet,Haricot de petite taille riche en fibres.,156,1,Nord,Limoneux,76.62
Caféier,Légumineuse riche en protéines.,980,13,Nord,Argileux,518.04
Anis étoilé,Fruit,115,9,Nord,Sablonneux,756.03
Laitue,Légume,812,2,Ouest,Limoneux,857.47
Ananas,Variété de maïs sucrée et tendre.,197,15,Zone sèche,Limoneux,768.75
Persil,Légume,829,19,Est,Limoneux,793.39
Gingembre,Culture aquatique à grains essentiels.,105,15,Sud,Limoneux,897.68
Sorgho grain,Fruit,943,10,Nord,Sablonneux,1.76
Canneberge,Culture céréalière riche en amidon.,464,12,Ouest,Limoneux,526.33
Mizuna,Lentille pour les clim,615,14,Sud,Limoneux,196.12
Manguier,Haricot de petite taille riche en fibres.,726,6,Sud,Sablonneux,160.05
Sorgho fourrager,Céréale d'été riche en fibres.,323,18,Nord,Limoneux,275.83
Luzerne,Graminée résistante à la sécheresse.,117,20,Ouest,Argileux,722.81
Champignon pleurote,Légumineuse riche en protéines.,810,17,Sud,Sablonneux,478.71
Ail,Riche en vitamines,582,12,Ouest,Limoneux,425.08
Pois chiche,Lentille pour les clim,555,15,Zone sèche,Argileux,739.53
Radis,Lentille pour les clim,681,7,Est,Limoneux,951.75
Blé tendre,Culture céréalière riche en amidon.,956,10,Ouest,Argileux,929.14
Poireaux,Graminée résistante à la sécheresse.,657,6,Nord,Argileux,782.27
Radis,Légume,587,13,Est,Argileux,330.25
Brocoli,Variété de maïs sucrée et tendre.,453,16,Zone sèche,Argileux,310.11
Amandier,Graminée résistante à la sécheresse.,218,19,Sud,Limoneux,751.55
Myrtille,Légumineuse riche en protéines.,388,1,Sud,Sablonneux,706.52
Ananas,Céréale d'été riche en fibres.,23,4,Nord,Argileux,247.91
Millet,Riche en vitamines,837,3,Zone sèche,Sablonneux,27.81
Vanille,Lentille pour les clim,24,8,Zone sèche,Limoneux,461.57
Baies de goji,Haricot de petite taille riche en fibres.,197,8,Zone sèche,Limoneux,147.03
Chou-fleur,Riche en vitamines,13,5,Sud,Argileux,544.73
Canistel,Légume,854,2,Ouest,Argileux,447.41
Bambou,Légume,424,1,Zone sèche,Limoneux,611.34
Vanille,Céréale d'été riche en fibres.,148,6,Nord,Limoneux,661.11
Poivron rouge,,388,16,Nord,Sablonneux,586.92
Safran,Culture aquatique à grains essentiels.,579,3,Ouest,Limoneux,838.46
Chou-fleur,Céréale d'été riche en fibres.,31,17,Est,Sablonneux,692.24
Pistachier,Légume,663,1,Ouest,Argileux,209.57
Aubergine,Culture aquatique à grains essentiels.,623,6,Zone sèche,Argileux,525.42
Millet,Culture céréalière riche en amidon.,94,19,Nord,Argileux,934.98
Sesame,Graminée résistante à la sécheresse.,714,7,Ouest,Sablonneux,134.39
Papaye,Culture aquatique à grains essentiels.,681,10,Ouest,Limoneux,618.6
Bambou,Céréale d'été riche en fibres.,27,18,Ouest,Argileux,156.67
Haricot mungo,Haricot de petite taille riche en fibres.,28,2,Zone sèche,Argileux,977.09
Papyrus,Lentille pour les clim,708,3,Nord,Limoneux,950.16
Théier,Fruit,73,3,Sud,Limoneux,12.53
Bette à carde,Riche en vitamines,497,14,Ouest,Limoneux,134.54
Grenadier,Légume,990,11,Est,Argileux,682.49
Colza,Lentille pour les clim,886,16,Nord,Limoneux,383.31
Ananas,Graminée résistante à la sécheresse.,247,4,Ouest,Limoneux,610.01
Romarin,Fruit,689,9,Ouest,Limoneux,523.54
Kumquat,Haricot de petite taille riche en fibres.,191,1,Nord,Sablonneux,395.98
Poireaux,Culture céréalière riche en amidon.,65,1,Ouest,Limoneux,272.1
Sesame,Lentille pour les clim,647,10,Est,Argileux,783.77
Grenadier,Variété de maïs sucrée et tendre.,350,19,Zone sèche,Sablonneux,951.02
Framboise,Culture aquatique à grains essentiels.,25,19,Ouest,Argileux,453.91
Carottes,Graminée résistante à la sécheresse.,170,18,Nord,Argileux,107.42
Concombre,Riche en vitamines,662,16,Nord,Argileux,215.74
Rhubarbe,Riche en vitamines,828,17,Est,Sablonneux,482.7
Betterave sucrière,Culture aquatique à grains essentiels.,309,18,Sud,Limoneux,998.85
Thym,Riche en vitamines,861,1,Sud,Sablonneux,492.65
Blé dur,Riche en vitamines,879,5,Zone sèche,Sablonneux,949.31
Blé tendre,Haricot de petite taille riche en fibres.,348,2,Ouest,Limoneux,316.34
Lentilles,Haricot de petite taille riche en fibres.,193,20,Nord,Sablonneux,563.98
Vanille,Haricot de petite taille riche en fibres.,33,13,Ouest,Sablonneux,409.73
Melon d'eau,Variété de maïs sucrée et tendre.,640,5,Est,Limoneux,832.09
Navet,Fruit,958,10,Zone sèche,Limoneux,350.3
Mizuna,Riche en vitamines,415,3,Ouest,Argileux,4.79
Ail,Légumineuse riche en protéines.,214,15,Est,Sablonneux,575.64
Nectarine,Culture céréalière riche en amidon.,383,11,Zone sèche,Limoneux,803.09
Canneberge,Fruit,6,6,Est,Sablonneux,818.92
Pistachier,Lentille pour les clim,75,19,Sud,Argileux,401.51
Aubergine,Culture aquatique à grains essentiels.,734,12,Nord,Sablonneux,357.71
Gingembre,Légume,457,4,Est,Sablonneux,788.33
Framboise,Riche en vitamines,5,10,Zone sèche,Sablonneux,253.79
Champignon shiitake,Céréale d'été riche en fibres.,38,12,Zone sèche,Sablonneux,29.21
Mûre,Haricot de petite taille riche en fibres.,216,12,Est,Sablonneux,20.17
Sarrasin,Haricot de petite taille riche en fibres.,594,19,Nord,Limoneux,52.37
Safran,Céréale d'été riche en fibres.,903,17,Est,Sablonneux,322.53
Grenadier,Haricot de petite taille riche en fibres.,209,11,Sud,Sablonneux,134.59
Figuier,,285,13,Sud,Argileux,518.13
Canneberge,Céréale d'été riche en fibres.,132,1,Est,Sablonneux,402.38
Pommes de terre,Légume,35,18,Nord,Limoneux,412.48
Seigle,Graminée résistante à la sécheresse.,238,11,Zone sèche,Limoneux,135.6
Camomille,Culture céréalière riche en amidon.,646,18,Sud,Sablonneux,691.34
Rhubarbe,Riche en vitamines,790,1,Nord,Limoneux,914.18
Noisetier,Légume,794,17,Ouest,Limoneux,122.04
Anis étoilé,Légumineuse riche en protéines.,687,3,Sud,Limoneux,406.36
Camomille,Céréale d'été riche en fibres.,442,14,Ouest,Argileux,792.4
Poireaux,Légume,194,9,Ouest,Limoneux,898.14
Kumquat,Légumineuse riche en protéines.,516,9,Ouest,Sablonneux,17.86
Mizuna,Culture céréalière riche en amidon.,214,8,Est,Limoneux,620.7
Papaye,Culture aquatique à grains essentiels.,179,7,Ouest,Limoneux,986.29
Thym,,508,7,Est,Sablonneux,536.1
Aubergine,,115,10,Sud,Argileux,103.5
Arbre à pain,Céréale d'été riche en fibres.,674,16,Sud,Argileux,52.34
Cannelle,Légume,988,14,Ouest,Argileux,268.96
Curcuma,Variété de maïs sucrée et tendre.,532,11,Sud,Sablonneux,267.73
Gingembre,Graminée résistante à la sécheresse.,212,5,Ouest,Limoneux,661.13
Myrtille,Fruit,505,9,Ouest,Sablonneux,746.89
Safran,Graminée résistante à la sécheresse.,569,15,Nord,Argileux,4.32
Amandier,Haricot de petite taille riche en fibres.,271,8,Est,Argileux,999.33
Seigle,Légumineuse riche en protéines.,51,15,Sud,Sablonneux,564.77
Avoine de printemps,Légumineuse riche en protéines.,527,9,Nord,Limoneux,774.34
Abricotier,Légumineuse riche en protéines.,101,18,Nord,Argileux,153.18
Palmier dattier,Culture aquatique à grains essentiels.,720,19,Nord,Limoneux,179.81
Safran,Lentille pour les clim,422,5,Nord,Argileux,669.95
Papaye,,265,20,Est,Sablonneux,160.6
Basilic,Céréale d'été riche en fibres.,320,2,Nord,Argileux,97.18
Lin oléagineux,Céréale d'été riche en fibres.,468,13,Nord,Argileux,423.15
Lin oléagineux,Variété de maïs sucrée et tendre.,182,13,Nord,Argileux,365.89
Millet,Riche en vitamines,412,17,Sud,Limoneux,358.27
Vesce,Céréale d'été riche en fibres.,107,16,Nord,Sablonneux,583.46
Noisetier,Haricot de petite taille riche en fibres.,713,13,Est,Argileux,478.7
Litchi,Culture céréalière riche en amidon.,433,16,Sud,Sablonneux,11.09
Sesame,Légume,983,14,Est,Argileux,5.94
Colza oléagineux,Culture aquatique à grains essentiels.,729,15,Sud,Sablonneux,336.1
Orge de printemps,Variété de maïs sucrée et tendre.,212,14,Zone sèche,Sablonneux,639.2
Banane plantain,Riche en vitamines,72,16,Zone sèche,Argileux,344.37
Blé tendre,Culture aquatique à grains essentiels.,829,8,Nord,Sablonneux,420.62
Pak choï,Haricot de petite taille riche en fibres.,135,19,Nord,Argileux,265.26
Abricotier,Culture aquatique à grains essentiels.,113,19,Sud,Argileux,840.19
Pêcher,Haricot de petite taille riche en fibres.,210,13,Ouest,Argileux,536.6
Pistachier,Culture aquatique à grains essentiels.,342,18,Nord,Sablonneux,128.32
Myrtille,Haricot de petite taille riche en fibres.,420,12,Ouest,Sablonneux,475.64
Arachide,,918,8,Nord,Sablonneux,302.66
Baobab,Riche en vitamines,477,6,Zone sèche,Sablonneux,304.67
Théier,Graminée résistante à la sécheresse.,973,10,Est,Limoneux,895.47
Tournesol,Légumineuse riche en protéines.,941,20,Nord,Argileux,589.82
Laitue,,128,10,Sud,Limoneux,784.85
Sorgho fourrager,Haricot de petite taille riche en fibres.,408,17,Nord,Limoneux,744.85
Framboise,Variété de maïs sucrée et tendre.,442,17,Ouest,Argileux,485.01
Blé tendre,Légume,712,4,Sud,Sablonneux,270.07
Safran,Riche en vitamines,310,8,Est,Limoneux,448.17
Coco,Variété de maïs sucrée et tendre.,763,13,Zone sèche,Limoneux,201.66
Manguier,Légume,917,6,Sud,Limoneux,739.22
Fraise,,962,14,Zone sèche,Limoneux,377.08
Menthe,Graminée résistante à la sécheresse.,949,8,Est,Limoneux,895.42
Riz paddy,Culture aquatique à grains essentiels.,480,15,Est,Argileux,793.17
Baobab,Culture aquatique à grains essentiels.,721,11,Sud,Limoneux,740.95
Arachide,Riche en vitamines,845,20,Ouest,Argileux,341.33
Mûre,,214,9,Est,Limoneux,422.06
Lin oléagineux,Variété de maïs sucrée et tendre.,439,9,Ouest,Limoneux,908.17
Olives,Culture aquatique à grains essentiels.,312,10,Est,Limoneux,805.19
Acacia,Haricot de petite taille riche en fibres.,664,8,Nord,Argileux,702.99
Lentilles,Variété de maïs sucrée et tendre.,333,7,Est,Sablonneux,679.16
Concombre,Haricot de petite taille riche en fibres.,878,13,Est,Sablonneux,870.2
Arbre à pain,Riche en vitamines,289,7,Ouest,Sablonneux,617.34
Sorgho grain,Légume,46,20,Zone sèche,Argileux,714.27
Nectarine,Variété de maïs sucrée et tendre.,24,11,Sud,Argileux,481.46
Banane plantain,Fruit,857,10,Est,Sablonneux,979.8
Artichaut,,780,18,Est,Sablonneux,987.26
Cannelle,Variété de maïs sucrée et tendre.,943,16,Sud,Argileux,261.14
Pak choï,Céréale d'été riche en fibres.,571,11,Sud,Limoneux,285.66
Ail,Légume,56,19,Nord,Argileux,727.09
Cannelle,Haricot de petite taille riche en fibres.,120,7,Nord,Limoneux,557.77
Cerisier,Variété de maïs sucrée et tendre.,299,1,Sud,Sablonneux,951.28
Soja,Culture céréalière riche en amidon.,126,7,Nord,Limoneux,551.58
Camomille,Variété de maïs sucrée et tendre.,129,20,Ouest,Sablonneux,456.42
Rhubarbe,,996,2,Ouest,Limoneux,601.83
Épinard,Culture aquatique à grains essentiels.,629,20,Est,Limoneux,98.57
Champignon pleurote,,266,6,Est,Sablonneux,597.29
Châtaignier,Fruit,583,5,Nord,Sablonneux,887.61
Poivron rouge,Culture aquatique à grains essentiels.,803,19,Nord,Sablonneux,669.46
Noisetier,Variété de maïs sucrée et tendre.,607,3,Nord,Limoneux,454.79
Vanille,,692,17,Nord,Argileux,321.75
Colza oléagineux,Légume,440,7,Est,Sablonneux,701.49
Canne à sucre,Variété de maïs sucrée et tendre.,619,4,Sud,Argileux,519.66
Litchi,Légume,681,4,Zone sèche,Sablonneux,221.09
Framboise,Fruit,348,14,Zone sèche,Argileux,622.04
Sesame,Lentille pour les clim,166,6,Sud,Argileux,87.44
Caféier,Lentille pour les clim,717,12,Est,Argileux,612.5
Figuier,Légume,348,18,Zone sèche,Argileux,680.99
Pommes de terre,Culture aquatique à grains essentiels.,504,8,Sud,Limoneux,433.09
Brocoli,Riche en vitamines,441,14,Est,Limoneux,908.76
Romarin,Fruit,384,7,Ouest,Limoneux,477.5
Persil,Céréale d'été riche en fibres.,501,17,Nord,Argileux,825.18
Persil,Haricot de petite taille riche en fibres.,970,14,Est,Argileux,633.16
Persil,Haricot de petite taille riche en fibres.,895,16,Ouest,Sablonneux,429.89
Avoine nue,Légumineuse riche en protéines.,417,17,Zone sèche,Argileux,317.87
Jujubier,Culture céréalière riche en amidon.,470,19,Sud,Argileux,142.76
Arbre à pain,Légumineuse riche en protéines.,270,2,Ouest,Limoneux,144.03
Mizuna,Légumineuse riche en protéines.,427,9,Est,Argileux,941.95
Baies de goji,Légume,74,13,Est,Limoneux,726.58
Bambou,Variété de maïs sucrée et tendre.,657,17,Zone sèche,Sablonneux,552.89
Muscade,Variété de maïs sucrée et tendre.,830,13,Zone sèche,Limoneux,141.76
Lupin,Lentille pour les clim,493,15,Zone sèche,Limoneux,444.91
Pois,Variété de maïs sucrée et tendre.,556,13,Zone sèche,Argileux,934.22
Mûre,Haricot de petite taille riche en fibres.,515,19,Ouest,Sablonneux,591.56
Champignon shiitake,Variété de maïs sucrée et tendre.,311,2,Est,Argileux,902.75
Soja,,441,13,Ouest,Sablonneux,707.89
Pommier,Céréale d'été riche en fibres.,96,7,Ouest,Sablonneux,104.31
Origan,Légumineuse riche en protéines.,420,14,Est,Sablonneux,109.05
Épinard,Légumineuse riche en protéines.,552,15,Nord,Argileux,544.64
Grenadier,Variété de maïs sucrée et tendre.,533,19,Sud,Argileux,355.19
Navet,Graminée résistante à la sécheresse.,112,12,Est,Limoneux,112.6
Carottes,,935,16,Zone sèche,Sablonneux,913.19
Fraise,,14,7,Est,Argileux,253.31
Sorgho grain,Culture céréalière riche en amidon.,307,17,Zone sèche,Limoneux,269.11
Mûre,Culture céréalière riche en amidon.,636,18,Est,Sablonneux,488.19
Lin oléagineux,Fruit,824,4,Ouest,Argileux,688.59
Brocoli,Graminée résistante à la sécheresse.,582,4,Sud,Sablonneux,374.07
Nectarine,Riche en vitamines,169,13,Sud,Argileux,602.05
Menthe,Légume,648,2,Nord,Sablonneux,805.53
Fèves,Graminée résistante à la sécheresse.,903,6,Sud,Sablonneux,509.7
Myrtille,Légume,692,13,Nord,Limoneux,506.08
Châtaignier,Culture céréalière riche en amidon.,975,19,Nord,Argileux,58.91
Navet,Culture céréalière riche en amidon.,275,9,Zone sèche,Limoneux,484.25
Poivron rouge,Culture aquatique à grains essentiels.,759,6,Zone sèche,Argileux,706.75
Coton,Lentille pour les clim,213,16,Sud,Limoneux,300.12
Baies de goji,Riche en vitamines,224,17,Zone sèche,Limoneux,668.08
Figuier,Riche en vitamines,857,14,Est,Argileux,327.0
Acacia,Graminée résistante à la sécheresse.,964,6,Zone sèche,Argileux,147.47
Mûre,Légumineuse riche en protéines.,636,19,Est,Argileux,675.05
Romarin,Haricot de petite taille riche en fibres.,39,3,Sud,Limoneux,526.77
Camomille,Légume,417,12,Zone sèche,Argileux,740.73
Laitue,Lentille pour les clim,693,7,Zone sèche,Argileux,216.11
Ail,Haricot de petite taille riche en fibres.,738,11,Sud,Sablonneux,289.84
Palmier dattier,Légume,65,6,Est,Argileux,338.83
Cacao,Lentille pour les clim,779,12,Sud,Argileux,568.3
Pak choï,,317,5,Sud,Sablonneux,781.71
Gingembre,Culture aquatique à grains essentiels.,750,15,Zone sèche,Limoneux,797.88
Sorgho grain,Céréale d'été riche en fibres.,592,10,Nord,Sablonneux,559.56
Céleri,Haricot de petite taille riche en fibres.,255,17,Ouest,Argileux,143.47
Fraise,Fruit,604,8,Ouest,Argileux,752.36
Poireaux,,962,19,Est,Sablonneux,278.07
Laitue,Riche en vitamines,907,12,Ouest,Argileux,41.31
Navet,Légumineuse riche en protéines.,121,5,Nord,Limoneux,16.43
Ciboulette,Céréale d'été riche en fibres.,382,7,Nord,Limoneux,975.4
Aubergine,Lentille pour les clim,580,14,Ouest,Limoneux,337.85
Laitue,Légume,634,5,Sud,Limoneux,34.32
Mûre,Légume,33,14,Ouest,Sablonneux,756.45
Fèves,Graminée résistante à la sécheresse.,593,8,Est,Argileux,235.83
Radis,Culture céréalière riche en amidon.,137,18,Ouest,Sablonneux,198.72
Aubergine,Haricot de petite taille riche en fibres.,646,3,Sud,Sablonneux,343.74
Théier,Lentille pour les clim,449,10,Nord,Argileux,132.49
Noix de cajou,Fruit,726,20,Zone sèche,Argileux,206.99
Sesame,Céréale d'été riche en fibres.,296,6,Nord,Limoneux,211.2
Arbre à pain,Céréale d'été riche en fibres.,985,8,Sud,Limoneux,961.26
Seigle,,894,14,Nord,Limoneux,869.9
Théier,,541,14,Sud,Argileux,574.0
Théier,Culture aquatique à grains essentiels.,335,13,Zone sèche,Argileux,598.82
Navet,Haricot de petite taille riche en fibres.,665,7,Sud,Sablonneux,950.45
Sesame,Légume,675,16,Ouest,Limoneux,644.22
Colza oléagineux,,643,14,Nord,Argileux,674.06
Pommes de terre,Légumineuse riche en protéines.,865,16,Nord,Argileux,386.0
Champignon pleurote,Riche en vitamines,436,11,Sud,Limoneux,449.31
Blé dur,Haricot de petite taille riche en fibres.,578,13,Sud,Limoneux,298.49
Ciboulette,,848,11,Ouest,Argileux,358.52
Radis,Céréale d'été riche en fibres.,309,8,Nord,Sablonneux,353.42
Fraise,Haricot de petite taille riche en fibres.,398,17,Est,Limoneux,210.7
Fraise,Fruit,585,13,Nord,Limoneux,958.84
Rhubarbe,Lentille pour les clim,617,10,Nord,Sablonneux,300.85
Menthe,Culture céréalière riche en amidon.,565,4,Zone sèche,Limoneux,522.26
Bette à carde,Riche en vitamines,111,15,Zone sèche,Sablonneux,416.24
Mûre,Riche en vitamines,928,19,Zone sèche,Sablonneux,522.3
Papyrus,Légumineuse riche en protéines.,297,4,Ouest,Argileux,854.77
Bambou,Culture céréalière riche en amidon.,578,12,Zone sèche,Limoneux,288.99
Rhubarbe,Culture aquatique à grains essentiels.,263,8,Sud,Limoneux,532.99
Bambou,,898,16,Est,Sablonneux,567.03
Tamarin,Légume,296,7,Nord,Limoneux,229.8
Champignon shiitake,Légumineuse riche en protéines.,229,10,Nord,Sablonneux,348.42
Pois chiche,Graminée résistante à la sécheresse.,331,18,Zone sèche,Limoneux,902.32
Colza,Culture céréalière riche en amidon.,981,4,Ouest,Limoneux,656.36
Kumquat,Variété de maïs sucrée et tendre.,779,8,Ouest,Limoneux,221.85
Noisetier,Culture céréalière riche en amidon.,833,6,Est,Argileux,875.54
Framboise,Riche en vitamines,299,17,Est,Limoneux,405.89
Lin oléagineux,,403,3,Nord,Sablonneux,941.81
Fèves,Culture céréalière riche en amidon.,918,2,Sud,Sablonneux,995.46
Vesce,Riche en vitamines,714,16,Ouest,Argileux,954.69
Camomille,Riche en vitamines,915,5,Ouest,Limoneux,253.87
Ciboulette,Céréale d'été riche en fibres.,767,19,Zone sèche,Argileux,641.97
Courgettes,Lentille pour les clim,928,2,Zone sèche,Sablonneux,132.66
Noix de cajou,Légume,586,15,Est,Limoneux,210.06
Noix de cajou,Variété de maïs sucrée et tendre.,673,7,Zone sèche,Argileux,856.26
Chou cavalier,Légumineuse riche en protéines.,788,17,Sud,Sablonneux,590.65
Laitue,,850,5,Est,Sablonneux,336.31
Nectarine,Légume,753,10,Ouest,Argileux,937.21
Quinoa,Céréale d'été riche en fibres.,201,1,Est,Sablonneux,509.36
Coton,Culture céréalière riche en amidon.,5,1,Sud,Limoneux,365.56
Manguier,Lentille pour les clim,15,18,Nord,Limoneux,664.72
Piment vert,Céréale d'été riche en fibres.,702,16,Sud,Limoneux,997.23
Acacia,Variété de maïs sucrée et tendre.,334,8,Sud,Argileux,12.68
